09/10/2019;	10:19:29000;	1.800;	2.000;	2.500;	2.000;	2.200;	2.800;	1.700;	1.900;	2.400;	
09/10/2019;	10:34:29000;	1.600;	1.900;	2.300;	1.800;	2.100;	2.400;	1.600;	1.800;	2.200;	
09/10/2019;	10:49:29000;	1.800;	2.000;	2.200;	2.000;	2.200;	2.400;	1.700;	1.900;	2.100;	
09/10/2019;	11:04:29000;	1.700;	2.000;	2.200;	2.100;	2.200;	2.500;	1.800;	1.900;	2.100;	
09/10/2019;	11:19:29000;	1.800;	2.000;	2.200;	2.100;	2.200;	2.500;	1.800;	1.900;	2.200;	
09/10/2019;	11:34:29000;	.800;	1.900;	2.500;	1.200;	2.100;	2.700;	.800;	1.800;	2.300;	
09/10/2019;	11:49:29000;	1.900;	2.200;	2.500;	2.100;	2.400;	2.800;	1.800;	2.100;	2.300;	
09/10/2019;	12:04:29000;	2.000;	2.300;	2.500;	2.200;	2.600;	2.800;	1.900;	2.200;	2.400;	
09/10/2019;	12:19:29000;	.700;	2.100;	2.600;	1.000;	2.300;	2.800;	.700;	2.000;	2.500;	
09/10/2019;	12:34:29000;	.700;	2.100;	2.300;	1.100;	2.300;	2.500;	.800;	2.000;	2.200;	
09/10/2019;	12:49:29000;	1.900;	2.100;	2.300;	2.200;	2.300;	2.500;	1.900;	2.100;	2.200;	
09/10/2019;	13:04:29000;	2.100;	2.200;	2.300;	2.300;	2.400;	2.500;	2.000;	2.100;	2.200;	
09/10/2019;	13:19:29000;	2.000;	2.200;	2.700;	2.300;	2.500;	2.900;	2.000;	2.200;	2.600;	
09/10/2019;	13:34:29000;	2.300;	2.500;	2.700;	2.500;	2.700;	3.000;	2.200;	2.400;	2.600;	
09/10/2019;	13:49:29000;	2.200;	2.500;	3.000;	2.400;	2.700;	3.400;	2.200;	2.400;	2.900;	
09/10/2019;	14:04:29000;	2.100;	2.300;	2.600;	2.400;	2.500;	2.900;	2.000;	2.200;	2.500;	
09/10/2019;	14:19:29000;	2.200;	2.400;	2.700;	2.400;	2.700;	3.000;	2.200;	2.400;	2.600;	
09/10/2019;	14:34:29000;	2.200;	2.300;	2.700;	2.300;	2.600;	2.900;	2.100;	2.300;	2.600;	
09/10/2019;	14:49:29000;	2.300;	2.500;	2.700;	2.400;	2.700;	3.000;	2.200;	2.400;	2.700;	
09/10/2019;	15:04:29000;	2.300;	2.500;	2.700;	2.500;	2.700;	3.000;	2.200;	2.400;	2.700;	
09/10/2019;	15:19:29000;	2.100;	2.500;	2.800;	2.300;	2.700;	3.200;	2.000;	2.400;	2.800;	
09/10/2019;	15:34:29000;	2.300;	2.600;	2.800;	2.500;	2.800;	3.100;	2.200;	2.500;	2.700;	
09/10/2019;	15:49:29000;	2.300;	2.300;	2.800;	2.500;	2.500;	3.200;	2.200;	2.300;	2.800;	
09/10/2019;	16:04:29000;	2.300;	2.500;	3.000;	2.500;	2.700;	3.300;	2.200;	2.400;	2.900;	
09/10/2019;	16:19:29000;	2.200;	2.400;	2.700;	2.400;	2.600;	2.900;	2.100;	2.300;	2.600;	
09/10/2019;	16:34:29000;	2.100;	2.200;	2.800;	2.300;	2.500;	3.000;	2.000;	2.100;	2.600;	
09/10/2019;	16:49:29000;	1.400;	2.300;	2.800;	1.600;	2.600;	3.100;	1.400;	2.200;	2.700;	
09/10/2019;	17:04:29000;	1.900;	2.000;	2.400;	2.100;	2.300;	2.700;	1.800;	1.900;	2.400;	
09/10/2019;	17:19:29000;	1.900;	2.100;	2.700;	2.200;	2.400;	3.000;	1.800;	2.100;	2.500;	
09/10/2019;	17:34:29000;	1.900;	2.200;	2.500;	2.100;	2.400;	2.900;	1.700;	2.100;	2.500;	
09/10/2019;	17:49:29000;	1.700;	1.900;	2.000;	2.000;	2.100;	2.300;	1.600;	1.800;	1.900;	
09/10/2019;	18:04:29000;	1.600;	1.700;	1.900;	1.800;	1.900;	2.200;	1.400;	1.600;	1.800;	
09/10/2019;	18:19:29000;	1.500;	1.700;	2.100;	1.800;	2.000;	2.400;	1.500;	1.600;	2.100;	
