10/10/2019;	21:26:37000;	1.100;	1.300;	1.600;	1.200;	1.300;	1.700;	1.100;	1.300;	1.700;	
10/10/2019;	21:41:37000;	1.100;	1.200;	1.400;	1.300;	1.300;	1.500;	1.200;	1.300;	1.400;	
10/10/2019;	21:56:37000;	1.200;	1.200;	1.400;	1.300;	1.300;	1.500;	1.300;	1.300;	1.400;	
10/10/2019;	22:11:37000;	1.200;	1.200;	1.400;	1.300;	1.300;	1.500;	1.300;	1.300;	1.400;	
10/10/2019;	22:26:37000;	1.200;	1.300;	1.500;	1.300;	1.400;	1.500;	1.200;	1.400;	1.500;	
10/10/2019;	22:41:37000;	1.200;	1.400;	1.700;	1.400;	1.500;	1.800;	1.300;	1.400;	1.800;	
10/10/2019;	22:56:37000;	1.200;	1.400;	1.700;	1.200;	1.500;	1.800;	1.200;	1.500;	1.800;	
10/10/2019;	23:11:37000;	1.500;	1.600;	1.800;	1.600;	1.700;	1.800;	1.600;	1.700;	1.900;	
10/10/2019;	23:26:37000;	1.500;	1.500;	1.700;	1.600;	1.600;	1.800;	1.600;	1.700;	1.800;	
10/10/2019;	23:41:37000;	1.100;	1.300;	1.700;	1.300;	1.400;	1.700;	1.100;	1.400;	1.700;	
10/10/2019;	23:56:37000;	1.100;	1.100;	1.300;	1.300;	1.300;	1.400;	1.100;	1.200;	1.400;	
11/10/2019;	00:11:37000;	1.100;	1.200;	1.300;	1.300;	1.300;	1.500;	1.100;	1.200;	1.400;	
11/10/2019;	00:26:37000;	1.100;	1.300;	1.600;	1.200;	1.300;	1.600;	1.100;	1.300;	1.600;	
11/10/2019;	00:41:37000;	1.100;	1.300;	1.600;	1.200;	1.300;	1.600;	1.100;	1.300;	1.600;	
11/10/2019;	00:56:37000;	1.100;	1.100;	1.300;	1.200;	1.200;	1.400;	1.100;	1.200;	1.300;	
11/10/2019;	01:11:37000;	1.100;	1.200;	1.500;	1.200;	1.300;	1.500;	1.100;	1.200;	1.500;	
11/10/2019;	01:26:37000;	1.100;	1.100;	1.500;	1.200;	1.200;	1.500;	1.100;	1.100;	1.400;	
11/10/2019;	01:41:37000;	1.000;	1.200;	1.500;	1.100;	1.200;	1.500;	1.000;	1.200;	1.400;	
11/10/2019;	01:56:37000;	1.100;	1.100;	1.300;	1.200;	1.200;	1.300;	1.100;	1.100;	1.200;	
11/10/2019;	02:11:37000;	1.000;	1.200;	1.400;	1.200;	1.200;	1.500;	1.000;	1.100;	1.400;	
11/10/2019;	02:26:37000;	1.000;	1.200;	1.400;	1.100;	1.200;	1.400;	1.000;	1.100;	1.400;	
11/10/2019;	02:41:37000;	1.000;	1.100;	1.300;	1.100;	1.200;	1.400;	1.000;	1.100;	1.300;	
11/10/2019;	02:56:37000;	.900;	1.100;	1.400;	1.100;	1.200;	1.400;	1.000;	1.100;	1.300;	
11/10/2019;	03:11:37000;	1.000;	1.200;	1.300;	1.000;	1.200;	1.400;	1.000;	1.200;	1.300;	
11/10/2019;	03:26:37000;	1.000;	1.100;	1.300;	1.000;	1.100;	1.300;	1.000;	1.100;	1.300;	
11/10/2019;	03:41:37000;	1.000;	1.000;	1.200;	1.100;	1.100;	1.200;	.900;	1.000;	1.100;	
11/10/2019;	03:56:37000;	1.000;	1.000;	1.200;	1.100;	1.100;	1.200;	1.000;	1.000;	1.100;	
11/10/2019;	04:11:37000;	1.000;	1.100;	1.300;	1.100;	1.100;	1.400;	.900;	1.100;	1.300;	
11/10/2019;	04:26:37000;	1.000;	1.000;	1.200;	1.100;	1.100;	1.300;	1.000;	1.000;	1.200;	
11/10/2019;	04:41:37000;	1.000;	1.100;	1.300;	1.000;	1.200;	1.400;	.900;	1.100;	1.300;	
11/10/2019;	04:56:37000;	.900;	1.100;	1.300;	1.000;	1.200;	1.300;	.900;	1.100;	1.300;	
11/10/2019;	05:11:37000;	.800;	1.100;	1.500;	1.000;	1.100;	1.600;	.800;	1.000;	1.500;	
11/10/2019;	05:26:37000;	.900;	.900;	1.100;	1.000;	1.000;	1.200;	.900;	.900;	1.100;	
11/10/2019;	05:41:37000;	.900;	.900;	1.100;	1.000;	1.000;	1.100;	.800;	.900;	1.100;	
11/10/2019;	05:56:37000;	.900;	1.100;	1.300;	1.000;	1.100;	1.400;	.900;	1.000;	1.300;	
11/10/2019;	06:11:37000;	1.000;	1.100;	1.400;	1.100;	1.200;	1.400;	1.000;	1.100;	1.300;	
11/10/2019;	06:26:37000;	1.100;	1.100;	1.300;	1.100;	1.200;	1.400;	1.000;	1.100;	1.200;	
11/10/2019;	06:41:37000;	1.100;	1.200;	1.400;	1.200;	1.300;	1.500;	1.100;	1.200;	1.300;	
11/10/2019;	06:56:37000;	1.100;	1.400;	1.600;	1.200;	1.500;	1.700;	1.100;	1.400;	1.600;	
11/10/2019;	07:11:37000;	1.100;	1.300;	1.700;	1.100;	1.400;	1.700;	1.100;	1.300;	1.700;	
11/10/2019;	07:26:37000;	1.200;	1.300;	1.400;	1.300;	1.400;	1.600;	1.200;	1.400;	1.500;	
11/10/2019;	07:41:37000;	1.000;	1.200;	1.500;	1.200;	1.400;	1.600;	1.100;	1.300;	1.600;	
11/10/2019;	07:56:37000;	1.100;	1.300;	1.700;	1.200;	1.400;	1.700;	1.200;	1.400;	1.800;	
11/10/2019;	08:11:37000;	1.100;	1.200;	1.300;	1.200;	1.300;	1.500;	1.300;	1.300;	1.500;	
11/10/2019;	08:26:37000;	1.100;	1.200;	1.300;	1.200;	1.300;	1.500;	1.300;	1.400;	1.500;	
11/10/2019;	08:41:37000;	1.000;	1.200;	1.400;	1.100;	1.300;	1.500;	1.000;	1.300;	1.700;	
11/10/2019;	08:56:37000;	1.100;	1.400;	1.800;	1.200;	1.400;	1.800;	1.200;	1.500;	1.900;	
11/10/2019;	09:11:37000;	1.200;	1.300;	1.400;	1.200;	1.300;	1.400;	1.300;	1.400;	1.500;	
