Relatório de Memória de Massa;;;;;;
Descrição: UNIVERSIDADE FEDERAL TRIANG MINEIRO UFTM;;;;;;
Ponto de Medição: 3011467333;;Data de Emissão: 31/10/2018 - 14:23;;;;
Medidor: 22101013;;Data da Leitura: 31/10/2018 - 13:45;;;;
Data Inicial: 01/09/2018 - 00:00;;Data Final: 31/10/2018 - 23:00;;;;
Id;Data do registro;kW;kVARInd;kVARCap;Fator de Potência: ;Posto horário: 
5766;31/10/2018 - 01:15;393,12;135,66;0;0,94529782;Fora Ponta
5765;31/10/2018 - 01:00;406,56;139,86;0;0,94561149;Fora Ponta
5764;31/10/2018 - 00:45;417,06;139,86;0;0,94810886;Fora Ponta
5763;31/10/2018 - 00:30;423,36;141,12;0;0,94868329;Fora Ponta
5762;31/10/2018 - 00:15;428,82;140,28;0;0,95043714;Fora Ponta
5761;31/10/2018 - 00:00;436,8;137,76;0;0,95369347;Fora Ponta
5760;30/10/2018 - 23:45;451,5;143,22;0;0,95319324;Fora Ponta
5759;30/10/2018 - 23:30;458,64;139,86;0;0,95651461;Fora Ponta
5758;30/10/2018 - 23:15;463,68;134,4;0;0,96046636;Fora Ponta
5757;30/10/2018 - 23:00;448,56;137,76;0;0,95593369;Fora Ponta
5756;30/10/2018 - 22:45;463,26;139,02;0;0,95780238;Fora Ponta
5755;30/10/2018 - 22:30;474,6;148,68;0;0,95426937;Fora Ponta
5754;30/10/2018 - 22:15;480,48;149,52;0;0,95483572;Fora Ponta
5753;30/10/2018 - 22:00;480,48;145,74;0;0,95694698;Fora Ponta
5752;30/10/2018 - 21:45;485,52;144,06;0;0,95868927;Fora Ponta
5751;30/10/2018 - 21:30;490,14;150,36;0;0,95602664;Fora Ponta
5750;30/10/2018 - 21:15;501,9;149,94;0;0,95815666;Fora Ponta
5749;30/10/2018 - 21:00;516,6;153,3;0;0,95868008;Fora Ponta
5748;30/10/2018 - 20:45;540,12;162,54;0;0,95758;Fora Ponta
5747;30/10/2018 - 20:30;539,7;154,56;0;0,96135437;Fora Ponta
5746;30/10/2018 - 20:15;548,94;150,78;0;0,96428551;Fora Ponta
5745;30/10/2018 - 20:00;544,32;152,46;0;0,96294086;Ponta
5744;30/10/2018 - 19:45;551,88;156,24;0;0,96218432;Ponta
5743;30/10/2018 - 19:30;564,06;162,54;0;0,9609005;Ponta
5742;30/10/2018 - 19:15;572,46;168,84;0;0,95915232;Ponta
5741;30/10/2018 - 19:00;591,78;166,32;0;0,962701;Ponta
5740;30/10/2018 - 18:45;619,08;175,14;0;0,96223508;Ponta
5739;30/10/2018 - 18:30;624,12;174,3;0;0,96314555;Ponta
5738;30/10/2018 - 18:15;646,8;183,54;0;0,96201742;Ponta
5737;30/10/2018 - 18:00;666,12;189;0;0,9620259;Ponta
5736;30/10/2018 - 17:45;688,38;194,88;0;0,96218572;Ponta
5735;30/10/2018 - 17:30;723,24;200,76;0;0,96356599;Ponta
5734;30/10/2018 - 17:15;753,06;207,06;0;0,9642157;Ponta
5733;30/10/2018 - 17:00;777,42;214,62;0;0,96394196;Fora Ponta
5732;30/10/2018 - 16:45;791,7;216,72;0;0,96451542;Fora Ponta
5731;30/10/2018 - 16:30;791,7;203,7;0;0,96845751;Fora Ponta
5730;30/10/2018 - 16:15;831,18;213,36;0;0,9685974;Fora Ponta
5729;30/10/2018 - 16:00;859,32;219,66;0;0,96884763;Fora Ponta
5728;30/10/2018 - 15:45;860,16;211,68;0;0,97102842;Fora Ponta
5727;30/10/2018 - 15:30;878,22;213,36;0;0,9717339;Fora Ponta
5726;30/10/2018 - 15:15;916,44;222,18;0;0,97184701;Fora Ponta
5725;30/10/2018 - 15:00;883,68;216,3;0;0,9713256;Fora Ponta
5724;30/10/2018 - 14:45;895,02;217,14;0;0,97180895;Fora Ponta
5723;30/10/2018 - 14:30;900,9;217,56;0;0,97205725;Fora Ponta
5722;30/10/2018 - 14:15;881,16;213,36;0;0,97191435;Fora Ponta
5721;30/10/2018 - 14:00;880,74;214,2;0;0,97167623;Fora Ponta
5720;30/10/2018 - 13:45;858,06;208,32;0;0,97177084;Fora Ponta
5719;30/10/2018 - 13:30;866,88;211,26;0;0,97156525;Fora Ponta
5718;30/10/2018 - 13:15;842,52;215,04;0;0,96893741;Fora Ponta
5717;30/10/2018 - 13:00;824,46;213,36;0;0,96810773;Fora Ponta
5716;30/10/2018 - 12:45;813,96;211,26;0;0,96792945;Fora Ponta
5715;30/10/2018 - 12:30;850,92;223,44;0;0,96721044;Fora Ponta
5714;30/10/2018 - 12:15;849,24;222,18;0;0,96743919;Fora Ponta
5713;30/10/2018 - 12:00;840,42;218,82;0;0,96773529;Fora Ponta
5712;30/10/2018 - 11:45;849,66;226,38;0;0,96629041;Fora Ponta
5711;30/10/2018 - 11:30;851,34;221,34;0;0,96782483;Fora Ponta
5710;30/10/2018 - 11:15;851,34;214,62;0;0,96966223;Fora Ponta
5709;30/10/2018 - 11:00;890,82;226,8;0;0,96908525;Fora Ponta
5708;30/10/2018 - 10:45;900,06;220,92;0;0,97117324;Fora Ponta
5707;30/10/2018 - 10:30;868,56;212,52;0;0,97134601;Fora Ponta
5706;30/10/2018 - 10:15;861;208,74;0;0,97184681;Fora Ponta
5705;30/10/2018 - 10:00;856,8;210,42;0;0,97114222;Fora Ponta
5704;30/10/2018 - 09:45;847,56;211,26;0;0,97031196;Fora Ponta
5703;30/10/2018 - 09:30;850,92;216,72;0;0,9690639;Fora Ponta
5702;30/10/2018 - 09:15;831,6;211,26;0;0,96921408;Fora Ponta
5701;30/10/2018 - 09:00;835,38;214,62;0;0,9685466;Fora Ponta
5700;30/10/2018 - 08:45;824,88;212,1;0;0,96849633;Fora Ponta
5699;30/10/2018 - 08:30;803,46;211,68;0;0,96700247;Fora Ponta
5698;30/10/2018 - 08:15;780,36;200,76;0;0,96846419;Fora Ponta
5697;30/10/2018 - 08:00;764,82;199,08;0;0,96775257;Fora Ponta
5696;30/10/2018 - 07:45;729,12;193,62;0;0,96650239;Fora Ponta
5695;30/10/2018 - 07:30;710,64;189,84;0;0,96612112;Fora Ponta
5694;30/10/2018 - 07:15;660,66;183,54;0;0,96350913;Fora Ponta
5693;30/10/2018 - 07:00;625,8;181,02;0;0,96061862;Fora Ponta
5692;30/10/2018 - 06:45;537,18;164,64;0;0,95610169;Fora Ponta
5691;30/10/2018 - 06:30;446,04;129,36;0;0,9604243;Fora Ponta
5690;30/10/2018 - 06:15;426,72;126,84;0;0,95855028;Fora Ponta
5689;30/10/2018 - 06:00;410,76;123,06;0;0,95793405;Fora Ponta
5688;30/10/2018 - 05:45;369,6;126;0;0,94651018;Fora Ponta
5687;30/10/2018 - 05:30;372,96;124,32;0;0,94868329;Fora Ponta
5686;30/10/2018 - 05:15;358,26;113,4;0;0,95337974;Fora Ponta
5685;30/10/2018 - 05:00;357;115,08;0;0,95177191;Fora Ponta
5684;30/10/2018 - 04:45;358,68;117,18;0;0,95055852;Fora Ponta
5683;30/10/2018 - 04:30;351,12;113,4;0;0,95160127;Fora Ponta
5682;30/10/2018 - 04:15;349,02;112,14;0;0,95206431;Fora Ponta
5681;30/10/2018 - 04:00;347,34;109,62;0;0,95363493;Fora Ponta
5680;30/10/2018 - 03:45;340,2;109,2;0;0,95215079;Fora Ponta
5679;30/10/2018 - 03:30;339,36;107,94;0;0,95295675;Fora Ponta
5678;30/10/2018 - 03:15;341,46;111,72;0;0,95042225;Fora Ponta
5677;30/10/2018 - 03:00;344,4;109,62;0;0,95289525;Fora Ponta
5676;30/10/2018 - 02:45;348,18;113,4;0;0,95084001;Fora Ponta
5675;30/10/2018 - 02:30;354,06;113,4;0;0,95234541;Fora Ponta
5674;30/10/2018 - 02:15;352,38;115,08;0;0,95059181;Fora Ponta
5673;30/10/2018 - 02:00;346,5;114,66;0;0,94937148;Fora Ponta
5672;30/10/2018 - 01:45;356,58;118,02;0;0,94935208;Fora Ponta
5671;30/10/2018 - 01:30;353,64;114,24;0;0,95158071;Fora Ponta
5670;30/10/2018 - 01:15;348,18;109,2;0;0,95417226;Fora Ponta
5669;30/10/2018 - 01:00;368,76;114,24;0;0,95521269;Fora Ponta
5668;30/10/2018 - 00:45;397,74;117,18;0;0,95923636;Fora Ponta
5667;30/10/2018 - 00:30;383,88;124,32;0;0,95135481;Fora Ponta
5666;30/10/2018 - 00:15;402,36;140,28;0;0,94425719;Fora Ponta
5665;30/10/2018 - 00:00;391,44;135,66;0;0,94486547;Fora Ponta
5664;29/10/2018 - 23:45;420;141,96;0;0,94734866;Fora Ponta
5663;29/10/2018 - 23:30;419,16;140,7;0;0,94801625;Fora Ponta
5662;29/10/2018 - 23:15;426,72;134,4;0;0,9538094;Fora Ponta
5661;29/10/2018 - 23:00;434,7;143,64;0;0,94950572;Fora Ponta
5660;29/10/2018 - 22:45;446,46;144,06;0;0,9516833;Fora Ponta
5659;29/10/2018 - 22:30;427,14;136,92;0;0,95227181;Fora Ponta
5658;29/10/2018 - 22:15;435,54;135,24;0;0,95501917;Fora Ponta
5657;29/10/2018 - 22:00;436,8;131,88;0;0,95731809;Fora Ponta
5656;29/10/2018 - 21:45;442,68;130,62;0;0,9591188;Fora Ponta
5655;29/10/2018 - 21:30;460,32;140,28;0;0,95656811;Fora Ponta
5654;29/10/2018 - 21:15;462,84;136,92;0;0,95892092;Fora Ponta
5653;29/10/2018 - 21:00;493,08;141,96;0;0,96096598;Fora Ponta
5652;29/10/2018 - 20:45;457,38;128,94;0;0,96248519;Fora Ponta
5651;29/10/2018 - 20:30;463,68;134,82;0;0,96023346;Fora Ponta
5650;29/10/2018 - 20:15;464,1;133,14;0;0,96122795;Fora Ponta
5649;29/10/2018 - 20:00;477,54;136,92;0;0,9612683;Ponta
5648;29/10/2018 - 19:45;475,86;141,54;0;0,95849887;Ponta
5647;29/10/2018 - 19:30;480,9;137,34;0;0,96155563;Ponta
5646;29/10/2018 - 19:15;464,52;133,98;0;0,96083248;Ponta
5645;29/10/2018 - 19:00;480,48;137,76;0;0,96126987;Ponta
5644;29/10/2018 - 18:45;493,92;136,5;0;0,96386934;Ponta
5643;29/10/2018 - 18:30;511,98;141,96;0;0,96364238;Ponta
5642;29/10/2018 - 18:15;548,1;161,7;0;0,9591311;Ponta
5641;29/10/2018 - 18:00;592,2;175,56;0;0,95875694;Ponta
5640;29/10/2018 - 17:45;614,88;181,02;0;0,95929243;Ponta
5639;29/10/2018 - 17:30;600,6;175,14;0;0,96001503;Ponta
5638;29/10/2018 - 17:15;630,42;178,92;0;0,96200616;Ponta
5637;29/10/2018 - 17:00;660,24;183,12;0;0,96362322;Fora Ponta
5636;29/10/2018 - 16:45;705,18;195,3;0;0,9637232;Fora Ponta
5635;29/10/2018 - 16:30;728,7;189,42;0;0,96783609;Fora Ponta
5634;29/10/2018 - 16:15;769,02;195,72;0;0,96910637;Fora Ponta
5633;29/10/2018 - 16:00;764,82;193,62;0;0,96941797;Fora Ponta
5632;29/10/2018 - 15:45;785,82;193,62;0;0,97096111;Fora Ponta
5631;29/10/2018 - 15:30;805,56;198,66;0;0,97091176;Fora Ponta
5630;29/10/2018 - 15:15;796,74;195,72;0;0,9711281;Fora Ponta
5629;29/10/2018 - 15:00;811,02;207,06;0;0,96892026;Fora Ponta
5628;29/10/2018 - 14:45;824,88;199,5;0;0,97197701;Fora Ponta
5627;29/10/2018 - 14:30;800,94;202,02;0;0,9696319;Fora Ponta
5626;29/10/2018 - 14:15;805,14;198,24;0;0,9710004;Fora Ponta
5625;29/10/2018 - 14:00;787,08;196,14;0;0,97032497;Fora Ponta
5624;29/10/2018 - 13:45;775,32;195,3;0;0,96970835;Fora Ponta
5623;29/10/2018 - 13:30;766,08;199,08;0;0,96785351;Fora Ponta
5622;29/10/2018 - 13:15;745,92;191,94;0;0,96845158;Fora Ponta
5621;29/10/2018 - 13:00;722,4;189;0;0,96743783;Fora Ponta
5620;29/10/2018 - 12:45;695,1;176,82;0;0,96913534;Fora Ponta
5619;29/10/2018 - 12:30;695,52;174,72;0;0,96986626;Fora Ponta
5618;29/10/2018 - 12:15;721,56;178,5;0;0,97073782;Fora Ponta
5617;29/10/2018 - 12:00;727,86;185,64;0;0,96898041;Fora Ponta
5616;29/10/2018 - 11:45;735,84;182,28;0;0,97066169;Fora Ponta
5615;29/10/2018 - 11:30;727,02;179,76;0;0,97076605;Fora Ponta
5614;29/10/2018 - 11:15;767,76;193,62;0;0,9696412;Fora Ponta
5613;29/10/2018 - 11:00;779,1;194,46;0;0,97023473;Fora Ponta
5612;29/10/2018 - 10:45;795,9;198,24;0;0,97035298;Fora Ponta
5611;29/10/2018 - 10:30;766,08;195,3;0;0,96900705;Fora Ponta
5610;29/10/2018 - 10:15;766,08;195,3;0;0,96900705;Fora Ponta
5609;29/10/2018 - 10:00;745,5;191,52;0;0,96854931;Fora Ponta
5608;29/10/2018 - 09:45;729,96;185,22;0;0,96928354;Fora Ponta
5607;29/10/2018 - 09:30;748,44;189;0;0,96956367;Fora Ponta
5606;29/10/2018 - 09:15;760,62;191,52;0;0,96973164;Fora Ponta
5605;29/10/2018 - 09:00;722,4;188,58;0;0,96757544;Fora Ponta
5604;29/10/2018 - 08:45;731,22;183,54;0;0,96991267;Fora Ponta
5603;29/10/2018 - 08:30;708,12;179,76;0;0,96925688;Fora Ponta
5602;29/10/2018 - 08:15;679,98;171,36;0;0,96968275;Fora Ponta
5601;29/10/2018 - 08:00;646,8;170,1;0;0,96711519;Fora Ponta
5600;29/10/2018 - 07:45;629,58;167,16;0;0,96651261;Fora Ponta
5599;29/10/2018 - 07:30;637,14;175,56;0;0,96407122;Fora Ponta
5598;29/10/2018 - 07:15;611,1;169,68;0;0,96354636;Fora Ponta
5597;29/10/2018 - 07:00;533,82;152,04;0;0,96175204;Fora Ponta
5596;29/10/2018 - 06:45;466,62;138,6;0;0,95860639;Fora Ponta
5595;29/10/2018 - 06:30;418,74;136,5;0;0,95076038;Fora Ponta
5594;29/10/2018 - 06:15;385,14;122,64;0;0,95285752;Fora Ponta
5593;29/10/2018 - 06:00;362,46;123,9;0;0,94624348;Fora Ponta
5592;29/10/2018 - 05:45;368,76;132,3;0;0,94125584;Fora Ponta
5591;29/10/2018 - 05:30;350,28;122,64;0;0,94382306;Fora Ponta
5590;29/10/2018 - 05:15;351,12;120,96;0;0,94546908;Fora Ponta
5589;29/10/2018 - 05:00;338,1;112,98;0;0,94844739;Fora Ponta
5588;29/10/2018 - 04:45;347,34;117,6;0;0,94718385;Fora Ponta
5587;29/10/2018 - 04:30;333,06;118,44;0;0,94219802;Fora Ponta
5586;29/10/2018 - 04:15;330,12;119,28;0;0,94049017;Fora Ponta
5585;29/10/2018 - 04:00;318,78;113,82;0;0,94176998;Fora Ponta
5584;29/10/2018 - 03:45;321,3;114,66;0;0,94182544;Fora Ponta
5583;29/10/2018 - 03:30;314,58;113,82;0;0,94034204;Fora Ponta
5582;29/10/2018 - 03:15;315,84;112,14;0;0,94236402;Fora Ponta
5581;29/10/2018 - 03:00;316,26;118,02;0;0,93689042;Fora Ponta
5580;29/10/2018 - 02:45;326,76;118,44;0;0,94014574;Fora Ponta
5579;29/10/2018 - 02:30;325,5;119,7;0;0,93854971;Fora Ponta
5578;29/10/2018 - 02:15;343,56;123,9;0;0,94069668;Fora Ponta
5577;29/10/2018 - 02:00;337,26;118,44;0;0,94350978;Fora Ponta
5576;29/10/2018 - 01:45;339,36;121,38;0;0,94158361;Fora Ponta
5575;29/10/2018 - 01:30;343,14;123,9;0;0,94056411;Fora Ponta
5574;29/10/2018 - 01:15;354,06;123,06;0;0,94457235;Fora Ponta
5573;29/10/2018 - 01:00;353,64;123,9;0;0,94375346;Fora Ponta
5572;29/10/2018 - 00:45;362,04;122,64;0;0,9471338;Fora Ponta
5571;29/10/2018 - 00:30;367,92;123,9;0;0,94770513;Fora Ponta
5570;29/10/2018 - 00:15;373,38;120,96;0;0,95132461;Fora Ponta
5569;29/10/2018 - 00:00;388,92;133,14;0;0,94609808;Fora Ponta
5568;28/10/2018 - 23:45;409,5;134,82;0;0,94984585;Fora Ponta
5567;28/10/2018 - 23:30;402,36;131,46;0;0,95055166;Fora Ponta
5566;28/10/2018 - 23:15;398,58;132,3;0;0,94908257;Fora Ponta
5565;28/10/2018 - 23:00;400,26;136,92;0;0,94617198;Fora Ponta
5564;28/10/2018 - 22:45;414,12;130,2;0;0,95396208;Fora Ponta
5563;28/10/2018 - 22:30;424,2;127,68;0;0,95756494;Fora Ponta
5562;28/10/2018 - 22:15;421,68;124,32;0;0,95918274;Fora Ponta
5561;28/10/2018 - 22:00;402,78;127,26;0;0,95353757;Fora Ponta
5560;28/10/2018 - 21:45;412,86;132,72;0;0,95201848;Fora Ponta
5559;28/10/2018 - 21:30;411,6;133,56;0;0,95117662;Fora Ponta
5558;28/10/2018 - 21:15;429,66;135,24;0;0,95386408;Fora Ponta
5557;28/10/2018 - 21:00;433,86;144,06;0;0,94905015;Fora Ponta
5556;28/10/2018 - 20:45;427,56;133,14;0;0,95477988;Fora Ponta
5555;28/10/2018 - 20:30;431,76;138,18;0;0,95241338;Fora Ponta
5554;28/10/2018 - 20:15;436,38;136,92;0;0,9541362;Fora Ponta
5553;28/10/2018 - 20:00;422,1;135,66;0;0,95203841;Fora Ponta
5552;28/10/2018 - 19:45;437,22;141,54;0;0,95138939;Fora Ponta
5551;28/10/2018 - 19:30;420,42;130,2;0;0,95524095;Fora Ponta
5550;28/10/2018 - 19:15;433,86;134,82;0;0,95495578;Fora Ponta
5549;28/10/2018 - 19:00;443,1;138,18;0;0,95465692;Fora Ponta
5548;28/10/2018 - 18:45;458,22;134,4;0;0,95957531;Fora Ponta
5547;28/10/2018 - 18:30;451,5;133,14;0;0,95916635;Fora Ponta
5546;28/10/2018 - 18:15;477,96;143,22;0;0,9579189;Fora Ponta
5545;28/10/2018 - 18:00;473,76;147,42;0;0,95484076;Fora Ponta
5544;28/10/2018 - 17:45;467,88;145,32;0;0,95499716;Fora Ponta
5543;28/10/2018 - 17:30;466,62;143,22;0;0,95598342;Fora Ponta
5542;28/10/2018 - 17:15;475,86;139,44;0;0,95964824;Fora Ponta
5541;28/10/2018 - 17:00;473,34;139,86;0;0,95901245;Fora Ponta
5540;28/10/2018 - 16:45;482,16;143,64;0;0,95837596;Fora Ponta
5539;28/10/2018 - 16:30;479,22;144,48;0;0,95743277;Fora Ponta
5538;28/10/2018 - 16:15;483,42;148,26;0;0,95604799;Fora Ponta
5537;28/10/2018 - 16:00;472,08;146,16;0;0,95526302;Fora Ponta
5536;28/10/2018 - 15:45;482,16;150,78;0;0,95442078;Fora Ponta
5535;28/10/2018 - 15:30;485,94;151,2;0;0,95484637;Fora Ponta
5534;28/10/2018 - 15:15;485,94;156,24;0;0,95200287;Fora Ponta
5533;28/10/2018 - 15:00;489,72;152,46;0;0,95479998;Fora Ponta
5532;28/10/2018 - 14:45;486,36;153,72;0;0,95350796;Fora Ponta
5531;28/10/2018 - 14:30;492,24;153,72;0;0,95453792;Fora Ponta
5530;28/10/2018 - 14:15;490,14;152,04;0;0,95510407;Fora Ponta
5529;28/10/2018 - 14:00;497,7;153,3;0;0,95569177;Fora Ponta
5528;28/10/2018 - 13:45;471,66;151,2;0;0,95226648;Fora Ponta
5527;28/10/2018 - 13:30;467,88;147,84;0;0,9535309;Fora Ponta
5526;28/10/2018 - 13:15;470,4;147,42;0;0,9542371;Fora Ponta
