08/10/2019;	10:35:27000;	15681.778;	15681.778;	15681.778;	17711.721;	17711.721;	17711.721;	15685.878;	15685.878;	15685.878;	49079.375;	49079.375;	49079.375;	
08/10/2019;	10:50:27000;	31037.059;	31037.059;	31037.059;	35360.984;	35360.984;	35360.984;	31284.600;	31284.600;	31284.600;	97682.641;	97682.641;	97682.641;	
08/10/2019;	11:05:27000;	46211.996;	46211.996;	46211.996;	52952.336;	52952.336;	52952.336;	46761.246;	46761.246;	46761.246;	145925.578;	145925.578;	145925.578;	
08/10/2019;	11:20:27000;	60602.227;	60602.227;	60602.227;	70049.633;	70049.633;	70049.633;	61697.336;	61697.336;	61697.336;	192349.188;	192349.188;	192349.188;	
08/10/2019;	11:35:27000;	74691.984;	74691.984;	74691.984;	86630.703;	86630.703;	86630.703;	76327.344;	76327.344;	76327.344;	237650.031;	237650.031;	237650.031;	
08/10/2019;	11:50:27000;	88933.617;	88933.617;	88933.617;	103778.281;	103778.281;	103778.281;	90883.141;	90883.141;	90883.141;	283595.031;	283595.031;	283595.031;	
08/10/2019;	12:05:27000;	103241.797;	103241.797;	103241.797;	120836.883;	120836.883;	120836.883;	105246.578;	105246.578;	105246.578;	329325.250;	329325.250;	329325.250;	
08/10/2019;	12:20:27000;	118746.633;	118746.633;	118746.633;	139173.781;	139173.781;	139173.781;	120799.813;	120799.813;	120799.813;	378720.219;	378720.219;	378720.219;	
08/10/2019;	12:35:27000;	133311.094;	133311.094;	133311.094;	156151.453;	156151.453;	156151.453;	135649.609;	135649.609;	135649.609;	425112.156;	425112.156;	425112.156;	
08/10/2019;	12:50:27000;	147514.188;	147514.188;	147514.188;	172322.531;	172322.531;	172322.531;	149902.813;	149902.813;	149902.813;	469739.531;	469739.531;	469739.531;	
08/10/2019;	13:05:27000;	162717.875;	162717.875;	162717.875;	188910.656;	188910.656;	188910.656;	164496.219;	164496.219;	164496.219;	516124.750;	516124.750;	516124.750;	
08/10/2019;	13:20:27000;	178257.984;	178257.984;	178257.984;	206375.734;	206375.734;	206375.734;	180095.813;	180095.813;	180095.813;	564729.500;	564729.500;	564729.500;	
08/10/2019;	13:35:27000;	194786.281;	194786.281;	194786.281;	224195.750;	224195.750;	224195.750;	195877.719;	195877.719;	195877.719;	614859.750;	614859.750;	614859.750;	
08/10/2019;	13:50:27000;	211966.063;	211966.063;	211966.063;	241897.531;	241897.531;	241897.531;	212307.078;	212307.078;	212307.078;	666170.688;	666170.688;	666170.688;	
08/10/2019;	14:05:27000;	230116.719;	230116.719;	230116.719;	261089.156;	261089.156;	261089.156;	229941.016;	229941.016;	229941.016;	721146.875;	721146.875;	721146.875;	
08/10/2019;	14:20:27000;	248477.234;	248477.234;	248477.234;	280755.969;	280755.969;	280755.969;	247746.313;	247746.313;	247746.313;	776979.500;	776979.500;	776979.500;	
08/10/2019;	14:35:27000;	265741.500;	265741.500;	265741.500;	299232.375;	299232.375;	299232.375;	264335.781;	264335.781;	264335.781;	829309.625;	829309.625;	829309.625;	
08/10/2019;	14:50:27000;	282846.125;	282846.125;	282846.125;	317486.844;	317486.844;	317486.844;	280769.594;	280769.594;	280769.594;	881102.563;	881102.563;	881102.563;	
08/10/2019;	15:05:27000;	299947.656;	299947.656;	299947.656;	336159.719;	336159.719;	336159.719;	297171.906;	297171.906;	297171.906;	933279.250;	933279.250;	933279.250;	
08/10/2019;	15:20:27000;	317897.156;	317897.156;	317897.156;	355631.250;	355631.250;	355631.250;	314676.750;	314676.750;	314676.750;	988205.125;	988205.125;	988205.125;	
08/10/2019;	15:35:27000;	336008.813;	336008.813;	336008.813;	375442.625;	375442.625;	375442.625;	332943.031;	332943.031;	332943.031;	1044394.500;	1044394.500;	1044394.500;	
08/10/2019;	15:50:27000;	353241.438;	353241.438;	353241.438;	394468.500;	394468.500;	394468.500;	349893.656;	349893.656;	349893.656;	1097603.625;	1097603.625;	1097603.625;	
08/10/2019;	16:05:27000;	369819.438;	369819.438;	369819.438;	412898.625;	412898.625;	412898.625;	366659.219;	366659.219;	366659.219;	1149377.250;	1149377.250;	1149377.250;	
08/10/2019;	16:20:27000;	386067.531;	386067.531;	386067.531;	430593.031;	430593.031;	430593.031;	383120.938;	383120.938;	383120.938;	1199781.500;	1199781.500;	1199781.500;	
08/10/2019;	16:35:27000;	402639.094;	402639.094;	402639.094;	448297.656;	448297.656;	448297.656;	399898.344;	399898.344;	399898.344;	1250835.125;	1250835.125;	1250835.125;	
08/10/2019;	16:50:27000;	419011.563;	419011.563;	419011.563;	465301.969;	465301.969;	465301.969;	416324.781;	416324.781;	416324.781;	1300638.250;	1300638.250;	1300638.250;	
08/10/2019;	17:05:27000;	435686.625;	435686.625;	435686.625;	482626.750;	482626.750;	482626.750;	432943.469;	432943.469;	432943.469;	1351256.875;	1351256.875;	1351256.875;	
08/10/2019;	17:20:27000;	451549.750;	451549.750;	451549.750;	499477.188;	499477.188;	499477.188;	448926.688;	448926.688;	448926.688;	1399953.625;	1399953.625;	1399953.625;	
08/10/2019;	17:35:27000;	466928.875;	466928.875;	466928.875;	515873.094;	515873.094;	515873.094;	464467.000;	464467.000;	464467.000;	1447269.000;	1447269.000;	1447269.000;	
08/10/2019;	17:50:27000;	481784.063;	481784.063;	481784.063;	531704.500;	531704.500;	531704.500;	479457.125;	479457.125;	479457.125;	1492945.750;	1492945.750;	1492945.750;	
08/10/2019;	18:05:27000;	496332.938;	496332.938;	496332.938;	546881.750;	546881.750;	546881.750;	493958.500;	493958.500;	493958.500;	1537173.250;	1537173.250;	1537173.250;	
08/10/2019;	18:20:27000;	509888.906;	509888.906;	509888.906;	561142.875;	561142.875;	561142.875;	507240.344;	507240.344;	507240.344;	1578272.125;	1578272.125;	1578272.125;	
08/10/2019;	18:35:27000;	524258.781;	524258.781;	524258.781;	576346.313;	576346.313;	576346.313;	521508.844;	521508.844;	521508.844;	1622114.000;	1622114.000;	1622114.000;	
08/10/2019;	18:50:27000;	538091.250;	538091.250;	538091.250;	591146.250;	591146.250;	591146.250;	535386.500;	535386.500;	535386.500;	1664624.000;	1664624.000;	1664624.000;	
08/10/2019;	19:05:27000;	550523.313;	550523.313;	550523.313;	604931.063;	604931.063;	604931.063;	548078.313;	548078.313;	548078.313;	1703532.750;	1703532.750;	1703532.750;	
08/10/2019;	19:20:27000;	562708.625;	562708.625;	562708.625;	618413.750;	618413.750;	618413.750;	560912.938;	560912.938;	560912.938;	1742035.250;	1742035.250;	1742035.250;	
08/10/2019;	19:35:27000;	575527.188;	575527.188;	575527.188;	631816.938;	631816.938;	631816.938;	574304.563;	574304.563;	574304.563;	1781648.750;	1781648.750;	1781648.750;	
08/10/2019;	19:50:27000;	588465.750;	588465.750;	588465.750;	645702.188;	645702.188;	645702.188;	587264.750;	587264.750;	587264.750;	1821432.750;	1821432.750;	1821432.750;	
08/10/2019;	20:05:27000;	601174.688;	601174.688;	601174.688;	659544.250;	659544.250;	659544.250;	599928.813;	599928.813;	599928.813;	1860647.750;	1860647.750;	1860647.750;	
08/10/2019;	20:20:27000;	613613.500;	613613.500;	613613.500;	673096.688;	673096.688;	673096.688;	612404.625;	612404.625;	612404.625;	1899114.750;	1899114.750;	1899114.750;	
08/10/2019;	20:35:27000;	625736.938;	625736.938;	625736.938;	686555.688;	686555.688;	686555.688;	624930.563;	624930.563;	624930.563;	1937223.250;	1937223.250;	1937223.250;	
08/10/2019;	20:50:27000;	637619.125;	637619.125;	637619.125;	699631.063;	699631.063;	699631.063;	637359.313;	637359.313;	637359.313;	1974609.500;	1974609.500;	1974609.500;	
08/10/2019;	21:05:27000;	649206.063;	649206.063;	649206.063;	712128.125;	712128.125;	712128.125;	649239.625;	649239.625;	649239.625;	2010573.750;	2010573.750;	2010573.750;	
08/10/2019;	21:20:27000;	661656.000;	661656.000;	661656.000;	725150.813;	725150.813;	725150.813;	661918.875;	661918.875;	661918.875;	2048725.750;	2048725.750;	2048725.750;	
08/10/2019;	21:35:27000;	673758.750;	673758.750;	673758.750;	737801.000;	737801.000;	737801.000;	674237.563;	674237.563;	674237.563;	2085797.250;	2085797.250;	2085797.250;	
08/10/2019;	21:50:27000;	685574.563;	685574.563;	685574.563;	749881.438;	749881.438;	749881.438;	685815.250;	685815.250;	685815.250;	2121271.250;	2121271.250;	2121271.250;	
08/10/2019;	22:05:27000;	696730.938;	696730.938;	696730.938;	761457.750;	761457.750;	761457.750;	696945.750;	696945.750;	696945.750;	2155134.500;	2155134.500;	2155134.500;	
08/10/2019;	22:20:27000;	707307.500;	707307.500;	707307.500;	772482.438;	772482.438;	772482.438;	707620.500;	707620.500;	707620.500;	2187410.500;	2187410.500;	2187410.500;	
08/10/2019;	22:35:27000;	717848.125;	717848.125;	717848.125;	783820.938;	783820.938;	783820.938;	718746.188;	718746.188;	718746.188;	2220415.250;	2220415.250;	2220415.250;	
08/10/2019;	22:50:27000;	728339.188;	728339.188;	728339.188;	794756.375;	794756.375;	794756.375;	729856.438;	729856.438;	729856.438;	2252952.000;	2252952.000;	2252952.000;	
08/10/2019;	23:05:27000;	738474.188;	738474.188;	738474.188;	805340.688;	805340.688;	805340.688;	740721.938;	740721.938;	740721.938;	2284536.750;	2284536.750;	2284536.750;	
08/10/2019;	23:20:27000;	748149.375;	748149.375;	748149.375;	815331.938;	815331.938;	815331.938;	751143.313;	751143.313;	751143.313;	2314624.500;	2314624.500;	2314624.500;	
08/10/2019;	23:35:27000;	759122.875;	759122.875;	759122.875;	826781.250;	826781.250;	826781.250;	762474.375;	762474.375;	762474.375;	2348378.500;	2348378.500;	2348378.500;	
08/10/2019;	23:50:27000;	769455.500;	769455.500;	769455.500;	837810.313;	837810.313;	837810.313;	773516.625;	773516.625;	773516.625;	2380782.500;	2380782.500;	2380782.500;	
09/10/2019;	00:05:27000;	778919.000;	778919.000;	778919.000;	847862.813;	847862.813;	847862.813;	783562.688;	783562.688;	783562.688;	2410344.500;	2410344.500;	2410344.500;	
09/10/2019;	00:20:27000;	789518.875;	789518.875;	789518.875;	859040.500;	859040.500;	859040.500;	794713.625;	794713.625;	794713.625;	2443273.000;	2443273.000;	2443273.000;	
09/10/2019;	00:35:27000;	799365.563;	799365.563;	799365.563;	869755.125;	869755.125;	869755.125;	805325.563;	805325.563;	805325.563;	2474446.250;	2474446.250;	2474446.250;	
09/10/2019;	00:50:27000;	808789.750;	808789.750;	808789.750;	879908.375;	879908.375;	879908.375;	815415.063;	815415.063;	815415.063;	2504113.250;	2504113.250;	2504113.250;	
09/10/2019;	01:05:27000;	817854.750;	817854.750;	817854.750;	889380.563;	889380.563;	889380.563;	825222.938;	825222.938;	825222.938;	2532458.250;	2532458.250;	2532458.250;	
09/10/2019;	01:20:27000;	826732.313;	826732.313;	826732.313;	898431.375;	898431.375;	898431.375;	834640.625;	834640.625;	834640.625;	2559804.250;	2559804.250;	2559804.250;	
09/10/2019;	01:35:27000;	835419.813;	835419.813;	835419.813;	907424.938;	907424.938;	907424.938;	844132.750;	844132.750;	844132.750;	2586977.500;	2586977.500;	2586977.500;	
09/10/2019;	01:50:27000;	844161.375;	844161.375;	844161.375;	916854.438;	916854.438;	916854.438;	853926.938;	853926.938;	853926.938;	2614942.750;	2614942.750;	2614942.750;	
09/10/2019;	02:05:27000;	852792.938;	852792.938;	852792.938;	925847.063;	925847.063;	925847.063;	863429.625;	863429.625;	863429.625;	2642069.500;	2642069.500;	2642069.500;	
09/10/2019;	02:20:27000;	861151.813;	861151.813;	861151.813;	934599.688;	934599.688;	934599.688;	872547.625;	872547.625;	872547.625;	2668299.000;	2668299.000;	2668299.000;	
09/10/2019;	02:35:27000;	869521.625;	869521.625;	869521.625;	943402.625;	943402.625;	943402.625;	881621.813;	881621.813;	881621.813;	2694546.000;	2694546.000;	2694546.000;	
09/10/2019;	02:50:27000;	878034.688;	878034.688;	878034.688;	952218.625;	952218.625;	952218.625;	890756.188;	890756.188;	890756.188;	2721009.500;	2721009.500;	2721009.500;	
09/10/2019;	03:05:27000;	886679.938;	886679.938;	886679.938;	961132.750;	961132.750;	961132.750;	899879.000;	899879.000;	899879.000;	2747691.750;	2747691.750;	2747691.750;	
09/10/2019;	03:20:27000;	895511.313;	895511.313;	895511.313;	969888.813;	969888.813;	969888.813;	909017.625;	909017.625;	909017.625;	2774417.750;	2774417.750;	2774417.750;	
09/10/2019;	03:35:27000;	903915.188;	903915.188;	903915.188;	978458.375;	978458.375;	978458.375;	917887.188;	917887.188;	917887.188;	2800260.750;	2800260.750;	2800260.750;	
09/10/2019;	03:50:27000;	912144.813;	912144.813;	912144.813;	986941.625;	986941.625;	986941.625;	926645.500;	926645.500;	926645.500;	2825732.000;	2825732.000;	2825732.000;	
09/10/2019;	04:05:27000;	920514.938;	920514.938;	920514.938;	995646.938;	995646.938;	995646.938;	935365.875;	935365.875;	935365.875;	2851527.750;	2851527.750;	2851527.750;	
09/10/2019;	04:20:27000;	928726.188;	928726.188;	928726.188;	1004234.938;	1004234.938;	1004234.938;	943909.500;	943909.500;	943909.500;	2876870.500;	2876870.500;	2876870.500;	
09/10/2019;	04:35:27000;	936764.000;	936764.000;	936764.000;	1012794.188;	1012794.188;	1012794.188;	952426.188;	952426.188;	952426.188;	2901984.500;	2901984.500;	2901984.500;	
09/10/2019;	04:50:27000;	945186.563;	945186.563;	945186.563;	1021612.500;	1021612.500;	1021612.500;	961318.063;	961318.063;	961318.063;	2928117.000;	2928117.000;	2928117.000;	
09/10/2019;	05:05:27000;	953910.125;	953910.125;	953910.125;	1030833.000;	1030833.000;	1030833.000;	970704.313;	970704.313;	970704.313;	2955447.500;	2955447.500;	2955447.500;	
09/10/2019;	05:20:27000;	963056.188;	963056.188;	963056.188;	1040925.188;	1040925.188;	1040925.188;	980532.813;	980532.813;	980532.813;	2984514.250;	2984514.250;	2984514.250;	
