3.284779;3.426869;3.77492
3.275901;3.362098;3.72861
3.474364;3.553804;3.922761
3.356255;3.420598;3.776019
3.351316;3.453928;3.758721
3.222309;3.338299;3.627492
3.564719;3.826322;4.076764
3.830552;4.139178;4.398627
3.836805;4.0204;4.285324
3.199902;3.318152;3.54875
3.151575;3.260395;3.537211
3.174316;3.266723;3.542637
3.31652;3.442886;3.717562
4.01157;4.073168;4.452524
4.02139;4.110981;4.445012
3.472637;3.546781;3.863988
3.932145;3.99707;4.343258
3.592621;3.636344;3.959015
3.957566;4.013738;4.367469
3.705774;3.795789;4.11707
3.907234;3.96079;4.279977
4.160508;4.226984;4.555547
3.274578;3.384492;3.632031
3.782078;3.856977;4.162547
3.56982;3.655781;3.955875
3.300539;3.437469;3.704156
3.867875;4.170539;4.431672
3.211969;3.310359;3.641781
3.553274;3.67268;4.011891
3.931468;4.070851;4.397961
3.067079;3.161016;3.452031
2.98525;3.140883;3.430086
3.204679;3.444484;3.668797
3.520586;3.761445;3.983586
2.951695;3.15611;3.436
3.258665;3.48318;3.708656
2.917828;3.167171;3.425328
3.308812;3.513782;3.797578
3.40425;3.597062;3.928375
3.26836;3.481797;3.77875
3.763515;3.982109;4.346594
3.321219;3.557641;3.834656
3.217672;3.419656;3.726297
3.781953;3.973625;4.253094
3.3365;3.542094;3.822125
3.369391;3.579719;3.881703
3.260765;3.487031;3.744281
3.05525;3.248313;3.523969
3.590203;3.748;4.04686
3.106344;3.270484;3.533796
3.749344;3.902937;4.19811
3.72839;3.851422;4.19175
3.466641;3.574766;3.901531
2.307984;2.451219;2.552703
1.868188;2.055015;2.100203
1.900734;2.029391;2.037719
1.877078;1.998187;2.055031
1.888532;2.00986;2.063453
1.893718;2.001781;2.065016
1.899563;1.986578;2.066328
1.903141;1.989969;2.055953
1.912828;1.984672;2.069063
1.895062;1.982828;2.050281
1.887735;1.993875;2.051953
1.881125;2.000734;2.066188
1.903062;2.008344;2.054265
1.900906;2.026297;2.016063
1.908891;1.976703;2.041437
1.906359;1.980813;2.035828
1.907657;1.983515;2.035204
1.898953;2.003672;2.013859
1.889359;1.997734;2.003125
1.881266;2.012422;1.998969
1.886343;2.022563;2.010343
1.87075;2.015094;2.046985
1.866891;2.013515;2.056219
1.887531;1.999906;2.015437
1.875969;1.987094;2.051469
1.880156;1.997735;2.053578
1.895328;1.976109;2.025734
1.885313;1.972609;2.0165
1.872766;1.996313;2.035625
2.58189;2.673422;2.96325
2.88936;2.975328;3.308375
3.100859;3.128531;3.414438
3.031125;3.148656;3.402531
3.262;3.327782;3.636313
3.185625;3.262875;3.582406
3.045891;3.124218;3.416937
3.130343;3.186125;3.485344
3.040157;3.415907;3.567375
2.945656;3.324906;3.465594
3.014875;3.320625;3.481781
3.120687;3.264;3.523938
