07/10/2019;	17:14:57000;	824528.438;	824528.438;	824528.438;	742179.813;	742179.813;	742179.813;	697086.000;	697086.000;	697086.000;	2263794.250;	2263794.250;	2263794.250;	
07/10/2019;	17:29:57000;	848714.188;	848714.188;	848714.188;	762770.000;	762770.000;	762770.000;	717111.875;	717111.875;	717111.875;	2328596.000;	2328596.000;	2328596.000;	
07/10/2019;	17:44:57000;	872810.375;	872810.375;	872810.375;	783055.813;	783055.813;	783055.813;	736524.063;	736524.063;	736524.063;	2392390.250;	2392390.250;	2392390.250;	
07/10/2019;	17:59:57000;	895413.688;	895413.688;	895413.688;	801940.313;	801940.313;	801940.313;	754800.688;	754800.688;	754800.688;	2452154.750;	2452154.750;	2452154.750;	
07/10/2019;	18:14:57000;	916518.750;	916518.750;	916518.750;	820680.250;	820680.250;	820680.250;	772850.813;	772850.813;	772850.813;	2510049.750;	2510049.750;	2510049.750;	
07/10/2019;	18:29:57000;	939294.125;	939294.125;	939294.125;	840463.188;	840463.188;	840463.188;	791742.688;	791742.688;	791742.688;	2571500.000;	2571500.000;	2571500.000;	
07/10/2019;	18:44:57000;	960110.500;	960110.500;	960110.500;	858881.938;	858881.938;	858881.938;	808681.375;	808681.375;	808681.375;	2627673.750;	2627673.750;	2627673.750;	
07/10/2019;	18:59:57000;	979564.438;	979564.438;	979564.438;	875682.688;	875682.688;	875682.688;	824300.750;	824300.750;	824300.750;	2679548.000;	2679548.000;	2679548.000;	
07/10/2019;	19:14:57000;	998318.188;	998318.188;	998318.188;	891750.250;	891750.250;	891750.250;	839672.000;	839672.000;	839672.000;	2729740.500;	2729740.500;	2729740.500;	
07/10/2019;	19:29:57000;	1016490.438;	1016490.438;	1016490.438;	907600.063;	907600.063;	907600.063;	854861.188;	854861.188;	854861.188;	2778951.750;	2778951.750;	2778951.750;	
07/10/2019;	19:44:57000;	1033823.938;	1033823.938;	1033823.938;	922925.688;	922925.688;	922925.688;	869234.188;	869234.188;	869234.188;	2825983.750;	2825983.750;	2825983.750;	
07/10/2019;	19:59:57000;	1051075.000;	1051075.000;	1051075.000;	938538.625;	938538.625;	938538.625;	884314.500;	884314.500;	884314.500;	2873928.000;	2873928.000;	2873928.000;	
07/10/2019;	20:14:57000;	1069278.500;	1069278.500;	1069278.500;	955016.375;	955016.375;	955016.375;	900412.313;	900412.313;	900412.313;	2924707.250;	2924707.250;	2924707.250;	
07/10/2019;	20:29:57000;	1086584.125;	1086584.125;	1086584.125;	970383.250;	970383.250;	970383.250;	915671.250;	915671.250;	915671.250;	2972638.500;	2972638.500;	2972638.500;	
07/10/2019;	20:44:57000;	1102933.125;	1102933.125;	1102933.125;	985026.375;	985026.375;	985026.375;	929897.000;	929897.000;	929897.000;	3017856.500;	3017856.500;	3017856.500;	
07/10/2019;	20:59:57000;	1118789.500;	1118789.500;	1118789.500;	999137.563;	999137.563;	999137.563;	943560.563;	943560.563;	943560.563;	3061487.500;	3061487.500;	3061487.500;	
07/10/2019;	21:14:57000;	1135604.500;	1135604.500;	1135604.500;	1014051.625;	1014051.625;	1014051.625;	958084.188;	958084.188;	958084.188;	3107740.250;	3107740.250;	3107740.250;	
