10/10/2019;	10:11:37000;	1084.351;	1084.351;	1084.351;	645.831;	645.831;	645.831;	776.398;	776.398;	776.398;	2506.579;	2506.579;	2506.579;	
10/10/2019;	10:26:37000;	2108.662;	2108.662;	2108.662;	1260.432;	1260.432;	1260.432;	1518.654;	1518.654;	1518.654;	4887.749;	4887.749;	4887.749;	
10/10/2019;	10:41:37000;	3298.893;	3298.893;	3298.893;	1952.205;	1952.205;	1952.205;	2352.023;	2352.023;	2352.023;	7603.120;	7603.120;	7603.120;	
10/10/2019;	10:56:37000;	4418.586;	4418.586;	4418.586;	2613.903;	2613.903;	2613.903;	3148.927;	3148.927;	3148.927;	10181.416;	10181.416;	10181.416;	
10/10/2019;	11:11:37000;	5428.911;	5428.911;	5428.911;	3218.182;	3218.182;	3218.182;	3881.933;	3881.933;	3881.933;	12529.026;	12529.026;	12529.026;	
10/10/2019;	11:26:37000;	6607.791;	6607.791;	6607.791;	3907.921;	3907.921;	3907.921;	4711.189;	4711.189;	4711.189;	15226.900;	15226.900;	15226.900;	
10/10/2019;	11:41:37000;	7717.280;	7717.280;	7717.280;	4573.347;	4573.347;	4573.347;	5508.792;	5508.792;	5508.792;	17799.418;	17799.418;	17799.418;	
10/10/2019;	11:56:37000;	8693.591;	8693.591;	8693.591;	5169.435;	5169.435;	5169.435;	6231.305;	6231.305;	6231.305;	20094.332;	20094.332;	20094.332;	
10/10/2019;	12:11:37000;	9756.641;	9756.641;	9756.641;	5813.618;	5813.618;	5813.618;	7005.076;	7005.076;	7005.076;	22575.334;	22575.334;	22575.334;	
10/10/2019;	12:26:37000;	10827.351;	10827.351;	10827.351;	6465.607;	6465.607;	6465.607;	7785.704;	7785.704;	7785.704;	25078.662;	25078.662;	25078.662;	
10/10/2019;	12:41:37000;	11886.019;	11886.019;	11886.019;	7114.223;	7114.223;	7114.223;	8562.404;	8562.404;	8562.404;	27562.645;	27562.645;	27562.645;	
10/10/2019;	12:56:37000;	12849.903;	12849.903;	12849.903;	7709.487;	7709.487;	7709.487;	9280.926;	9280.926;	9280.926;	29840.316;	29840.316;	29840.316;	
10/10/2019;	13:11:37000;	13862.834;	13862.834;	13862.834;	8327.622;	8327.622;	8327.622;	10025.225;	10025.225;	10025.225;	32215.680;	32215.680;	32215.680;	
10/10/2019;	13:26:37000;	14905.195;	14905.195;	14905.195;	8964.807;	8964.807;	8964.807;	10791.426;	10791.426;	10791.426;	34661.430;	34661.430;	34661.430;	
10/10/2019;	13:41:37000;	15946.616;	15946.616;	15946.616;	9602.683;	9602.683;	9602.683;	11556.149;	11556.149;	11556.149;	37105.449;	37105.449;	37105.449;	
10/10/2019;	13:56:37000;	17001.318;	17001.318;	17001.318;	10249.247;	10249.247;	10249.247;	12322.076;	12322.076;	12322.076;	39572.641;	39572.641;	39572.641;	
10/10/2019;	14:11:37000;	17973.008;	17973.008;	17973.008;	10847.806;	10847.806;	10847.806;	13038.164;	13038.164;	13038.164;	41858.977;	41858.977;	41858.977;	
10/10/2019;	14:26:37000;	18995.350;	18995.350;	18995.350;	11469.762;	11469.762;	11469.762;	13782.460;	13782.460;	13782.460;	44247.570;	44247.570;	44247.570;	
10/10/2019;	14:41:37000;	20083.561;	20083.561;	20083.561;	12130.517;	12130.517;	12130.517;	14565.960;	14565.960;	14565.960;	46780.039;	46780.039;	46780.039;	
10/10/2019;	14:56:37000;	21318.930;	21318.930;	21318.930;	12953.706;	12953.706;	12953.706;	15465.307;	15465.307;	15465.307;	49737.941;	49737.941;	49737.941;	
10/10/2019;	15:11:37000;	22545.666;	22545.666;	22545.666;	13782.317;	13782.317;	13782.317;	16356.669;	16356.669;	16356.669;	52684.652;	52684.652;	52684.652;	
10/10/2019;	15:26:37000;	23778.211;	23778.211;	23778.211;	14605.581;	14605.581;	14605.581;	17252.049;	17252.049;	17252.049;	55635.840;	55635.840;	55635.840;	
10/10/2019;	15:41:37000;	25001.264;	25001.264;	25001.264;	15426.368;	15426.368;	15426.368;	18141.150;	18141.150;	18141.150;	58568.781;	58568.781;	58568.781;	
10/10/2019;	15:56:37000;	26215.734;	26215.734;	26215.734;	16243.764;	16243.764;	16243.764;	19030.500;	19030.500;	19030.500;	61490.000;	61490.000;	61490.000;	
10/10/2019;	16:11:37000;	27426.480;	27426.480;	27426.480;	17054.270;	17054.270;	17054.270;	19912.324;	19912.324;	19912.324;	64393.074;	64393.074;	64393.074;	
10/10/2019;	16:26:37000;	28629.242;	28629.242;	28629.242;	17858.793;	17858.793;	17858.793;	20793.982;	20793.982;	20793.982;	67282.016;	67282.016;	67282.016;	
10/10/2019;	16:41:37000;	29830.094;	29830.094;	29830.094;	18671.213;	18671.213;	18671.213;	21674.164;	21674.164;	21674.164;	70175.469;	70175.469;	70175.469;	
10/10/2019;	16:56:37000;	31032.395;	31032.395;	31032.395;	19483.838;	19483.838;	19483.838;	22550.869;	22550.869;	22550.869;	73067.102;	73067.102;	73067.102;	
10/10/2019;	17:11:37000;	32234.033;	32234.033;	32234.033;	20295.861;	20295.861;	20295.861;	23433.285;	23433.285;	23433.285;	75963.180;	75963.180;	75963.180;	
10/10/2019;	17:26:37000;	33421.457;	33421.457;	33421.457;	21110.340;	21110.340;	21110.340;	24308.811;	24308.811;	24308.811;	78840.609;	78840.609;	78840.609;	
10/10/2019;	17:41:37000;	34609.367;	34609.367;	34609.367;	21910.047;	21910.047;	21910.047;	25182.391;	25182.391;	25182.391;	81701.805;	81701.805;	81701.805;	
10/10/2019;	17:56:37000;	35778.863;	35778.863;	35778.863;	22710.504;	22710.504;	22710.504;	26040.002;	26040.002;	26040.002;	84529.367;	84529.367;	84529.367;	
10/10/2019;	18:11:37000;	36951.645;	36951.645;	36951.645;	23514.783;	23514.783;	23514.783;	26906.393;	26906.393;	26906.393;	87372.820;	87372.820;	87372.820;	
10/10/2019;	18:26:37000;	38108.258;	38108.258;	38108.258;	24316.609;	24316.609;	24316.609;	27762.145;	27762.145;	27762.145;	90187.016;	90187.016;	90187.016;	
10/10/2019;	18:41:37000;	39265.871;	39265.871;	39265.871;	25102.910;	25102.910;	25102.910;	28603.602;	28603.602;	28603.602;	92972.383;	92972.383;	92972.383;	
10/10/2019;	18:56:37000;	40419.172;	40419.172;	40419.172;	25887.297;	25887.297;	25887.297;	29443.148;	29443.148;	29443.148;	95749.617;	95749.617;	95749.617;	
10/10/2019;	19:11:37000;	41552.664;	41552.664;	41552.664;	26670.826;	26670.826;	26670.826;	30261.883;	30261.883;	30261.883;	98485.375;	98485.375;	98485.375;	
10/10/2019;	19:26:37000;	42677.523;	42677.523;	42677.523;	27452.020;	27452.020;	27452.020;	31087.834;	31087.834;	31087.834;	101217.375;	101217.375;	101217.375;	
10/10/2019;	19:41:37000;	43800.707;	43800.707;	43800.707;	28225.141;	28225.141;	28225.141;	31908.238;	31908.238;	31908.238;	103934.086;	103934.086;	103934.086;	
10/10/2019;	19:56:37000;	44880.133;	44880.133;	44880.133;	28958.848;	28958.848;	28958.848;	32695.430;	32695.430;	32695.430;	106534.406;	106534.406;	106534.406;	
10/10/2019;	20:11:37000;	46014.668;	46014.668;	46014.668;	29729.582;	29729.582;	29729.582;	33510.637;	33510.637;	33510.637;	109254.891;	109254.891;	109254.891;	
10/10/2019;	20:26:37000;	47078.680;	47078.680;	47078.680;	30449.311;	30449.311;	30449.311;	34296.090;	34296.090;	34296.090;	111824.078;	111824.078;	111824.078;	
10/10/2019;	20:41:37000;	48057.746;	48057.746;	48057.746;	31119.662;	31119.662;	31119.662;	35027.324;	35027.324;	35027.324;	114204.734;	114204.734;	114204.734;	
10/10/2019;	20:56:37000;	49230.227;	49230.227;	49230.227;	31911.514;	31911.514;	31911.514;	35874.836;	35874.836;	35874.836;	117016.578;	117016.578;	117016.578;	
10/10/2019;	21:11:37000;	50346.613;	50346.613;	50346.613;	32688.539;	32688.539;	32688.539;	36692.707;	36692.707;	36692.707;	119727.859;	119727.859;	119727.859;	
10/10/2019;	21:26:37000;	51410.484;	51410.484;	51410.484;	33407.691;	33407.691;	33407.691;	37480.688;	37480.688;	37480.688;	122298.859;	122298.859;	122298.859;	
10/10/2019;	21:41:37000;	52520.426;	52520.426;	52520.426;	34178.859;	34178.859;	34178.859;	38302.484;	38302.484;	38302.484;	125001.766;	125001.766;	125001.766;	
10/10/2019;	21:56:37000;	53626.078;	53626.078;	53626.078;	34948.512;	34948.512;	34948.512;	39115.809;	39115.809;	39115.809;	127690.398;	127690.398;	127690.398;	
10/10/2019;	22:11:37000;	54729.137;	54729.137;	54729.137;	35709.598;	35709.598;	35709.598;	39927.859;	39927.859;	39927.859;	130366.594;	130366.594;	130366.594;	
10/10/2019;	22:26:37000;	55822.980;	55822.980;	55822.980;	36471.434;	36471.434;	36471.434;	40746.176;	40746.176;	40746.176;	133040.594;	133040.594;	133040.594;	
10/10/2019;	22:41:37000;	56813.117;	56813.117;	56813.117;	37144.383;	37144.383;	37144.383;	41494.555;	41494.555;	41494.555;	135452.063;	135452.063;	135452.063;	
10/10/2019;	22:56:37000;	57931.699;	57931.699;	57931.699;	37903.848;	37903.848;	37903.848;	42315.828;	42315.828;	42315.828;	138151.375;	138151.375;	138151.375;	
10/10/2019;	23:11:37000;	59033.082;	59033.082;	59033.082;	38665.090;	38665.090;	38665.090;	43137.754;	43137.754;	43137.754;	140835.922;	140835.922;	140835.922;	
