Relatório de Memória de Massa;;;;;;
Descrição: UNIVERSIDADE FEDERAL TRIANG MINEIRO UFTM;;;;;;
Ponto de Medição: 3011467333;;Data de Emissão: 31/10/2018 - 14:23;;;;
Medidor: 22101013;;Data da Leitura: 31/10/2018 - 13:45;;;;
Data Inicial: 01/09/2018 - 00:00;;Data Final: 31/10/2018 - 23:00;;;;
Id;Data do registro;kW;kVARInd;kVARCap;Fator de Potência: ;Posto horário: 
8189;25/01/2019 - 07:00;184,38;46,41;0;0,96975142;Fora Ponta
8188;25/01/2019 - 06:45;177,975;45,98999999;0;0,96819702;Fora Ponta
8187;25/01/2019 - 06:30;174,615;45,77999999;0;0,96730769;Fora Ponta
8186;25/01/2019 - 06:15;170,94;46,935;0;0,96431132;Fora Ponta
8185;25/01/2019 - 06:00;156,555;44,31;0;0,96220285;Fora Ponta
8184;25/01/2019 - 05:45;141,435;42,42;0;0,95784585;Fora Ponta
8183;25/01/2019 - 05:30;132,93;39,06;0;0,95943787;Fora Ponta
8182;25/01/2019 - 05:15;129,36;38,745;0;0,95795459;Fora Ponta
8181;25/01/2019 - 05:00;123,9;39,69;0;0,95233039;Fora Ponta
8180;25/01/2019 - 04:45;121,065;39,48;0;0,95072455;Fora Ponta
8179;25/01/2019 - 04:30;111,72;35,91;0;0,95202856;Fora Ponta
8178;25/01/2019 - 04:15;111,72;34,01999999;0;0,95663031;Fora Ponta
8177;25/01/2019 - 04:00;112,665;34,23;0;0,95681416;Fora Ponta
8176;25/01/2019 - 03:45;105,105;33,18;0;0,95361145;Fora Ponta
8175;25/01/2019 - 03:30;106,365;35,07;0;0,94970952;Fora Ponta
8174;25/01/2019 - 03:15;106,89;34,75499999;0;0,95099286;Fora Ponta
8173;25/01/2019 - 03:00;107,94;36,435;0;0,94747831;Fora Ponta
8172;25/01/2019 - 02:45;103,635;34,96499999;0;0,94752499;Fora Ponta
8171;25/01/2019 - 02:30;105,105;34,65;0;0,94972178;Fora Ponta
8170;25/01/2019 - 02:15;105,42;34,65;0;0,94999967;Fora Ponta
8169;25/01/2019 - 02:00;108,78;35,27999999;0;0,95122281;Fora Ponta
8168;25/01/2019 - 01:45;105,84;34,335;0;0,95120036;Fora Ponta
8167;25/01/2019 - 01:30;109,41;34,545;0;0,95359649;Fora Ponta
8166;25/01/2019 - 01:15;111,825;34,755;0;0,95494151;Fora Ponta
8165;25/01/2019 - 01:00;107,835;34,44;0;0,95259631;Fora Ponta
8164;25/01/2019 - 00:45;119,175;36,33;0;0,95654109;Fora Ponta
8163;25/01/2019 - 00:30;114,24;36,54;0;0,95246479;Fora Ponta
8162;25/01/2019 - 00:15;112,98;36,64499999;0;0,9512158;Fora Ponta
8161;25/01/2019 - 00:00;117,075;37,17;0;0,95311644;Fora Ponta
8160;24/01/2019 - 23:45;118,44;37,69499999;0;0,95290358;Fora Ponta
8159;24/01/2019 - 23:30;119,28;37,17;0;0,95471893;Fora Ponta
8158;24/01/2019 - 23:15;128,1;40,005;0;0,95453564;Fora Ponta
8157;24/01/2019 - 23:00;124,215;38,01;0;0,95623226;Fora Ponta
