36895;31;0.2742;0.09839999;0;0.94122825;Fora Ponta
36894;31;0.29579999;0.1053;0;0.94208728;Fora Ponta
36893;31;0.2985;0.10649999;0;0.94184894;Fora Ponta
36892;31;0.2934;0.10169999;0;0.94484815;Fora Ponta
36891;31;0.3051;0.10979999;0;0.94092278;Fora Ponta
36890;31;0.3072;0.11009999;0;0.94136695;Fora Ponta
36889;31;0.31229999;0.11069999;0;0.94253815;Fora Ponta
36888;31;0.31229999;0.1083;0;0.94480248;Fora Ponta
36887;31;0.32699999;0.11639999;0;0.94209337;Fora Ponta
36886;31;0.3357;0.11969999;0;0.94191318;Fora Ponta
36885;31;0.34349999;0.11939999;0;0.94456355;Fora Ponta
36884;31;0.3507;0.1239;0;0.94288605;Fora Ponta
36883;31;0.363;0.1296;0;0.94177712;Fora Ponta
36882;31;0.3576;0.12419999;0;0.94464637;Fora Ponta
36881;31;0.3702;0.1284;0;0.94478563;Fora Ponta
36880;31;0.37859999;0.13529999;0;0.94167436;Ponta
36879;31;0.375;0.1329;0;0.94255799;Ponta
36878;31;0.39149999;0.13859999;0;0.94266983;Ponta
36877;31;0.3951;0.144;0;0.93954322;Ponta
36876;31;0.3999;0.1416;0;0.9426504;Ponta
36875;31;0.4095;0.141;0;0.9455201;Ponta
36874;31;0.40679999;0.1389;0;0.94635506;Ponta
36873;31;0.4101;0.14159999;0;0.94524063;Ponta
36872;31;0.40199999;0.13379999;0;0.94882481;Ponta
36871;31;0.40679999;0.14129999;0;0.94463768;Ponta
36870;31;0.4203;0.14339999;0;0.94643044;Ponta
36869;31;0.4395;0.14279999;0;0.95105791;Ponta
36868;31;0.4473;0.1452;0;0.95114183;Fora Ponta
36867;31;0.4788;0.1548;0;0.95150612;Fora Ponta
36866;31;0.4743;0.15239999;0;0.95205988;Fora Ponta
36865;31;0.5031;0.16049999;0;0.95269421;Fora Ponta
36864;31;0.501;0.1548;0;0.95543198;Fora Ponta
36863;31;0.53279999;0.16319999;0;0.95615073;Fora Ponta
36862;31;0.53909999;0.16379999;0;0.95680919;Fora Ponta
36861;31;0.5307;0.15839999;0;0.95822787;Fora Ponta
36860;31;0.53309999;0.1644;0;0.95559278;Fora Ponta
