10687;31;-;-;-;-;-
10686;31;-;-;-;-;-
10685;31;-;-;-;-;-
10684;31;-;-;-;-;-
10683;31;-;-;-;-;-
10682;31;-;-;-;-;-
10681;31;-;-;-;-;-
10680;31;-;-;-;-;-
10679;31;-;-;-;-;-
10678;31;-;-;-;-;-
10677;31;-;-;-;-;-
10676;31;-;-;-;-;-
10675;31;-;-;-;-;-
10674;31;-;-;-;-;-
10673;31;-;-;-;-;-
10672;31;-;-;-;-;-
10671;31;-;-;-;-;-
10670;31;-;-;-;-;-
10669;31;-;-;-;-;-
10668;31;-;-;-;-;-
10667;31;-;-;-;-;-
10666;31;-;-;-;-;-
10665;31;-;-;-;-;-
10664;31;-;-;-;-;-
10663;31;-;-;-;-;-
10662;31;-;-;-;-;-
10661;31;-;-;-;-;-
10660;31;-;-;-;-;-
10659;31;-;-;-;-;-
10658;31;-;-;-;-;-
10657;31;-;-;-;-;-
10656;31;-;-;-;-;-
10655;31;-;-;-;-;-
10654;31;-;-;-;-;-
10653;31;-;-;-;-;-
10652;31;-;-;-;-;-
10651;31;-;-;-;-;-
10650;31;-;-;-;-;-
10649;31;-;-;-;-;-
10648;31;-;-;-;-;-
10647;31;-;-;-;-;-
10646;31;-;-;-;-;-
10645;31;-;-;-;-;-
10644;31;-;-;-;-;-
10643;31;-;-;-;-;-
10642;31;-;-;-;-;-
10641;31;-;-;-;-;-
10640;31;-;-;-;-;-
10639;31;-;-;-;-;-
10638;31;-;-;-;-;-
10637;31;-;-;-;-;-
10636;31;-;-;-;-;-
10635;31;-;-;-;-;-
10634;31;-;-;-;-;-
10633;31;-;-;-;-;-
10632;31;-;-;-;-;-
10631;31;-;-;-;-;-
10630;31;-;-;-;-;-
10629;31;-;-;-;-;-
10628;31;-;-;-;-;-
10627;31;-;-;-;-;-
10626;31;-;-;-;-;-
10625;31;-;-;-;-;-
10624;31;-;-;-;-;-
10623;31;-;-;-;-;-
10622;31;-;-;-;-;-
10621;31;-;-;-;-;-
10620;31;-;-;-;-;-
10619;31;-;-;-;-;-
10618;31;-;-;-;-;-
10617;31;-;-;-;-;-
10616;31;-;-;-;-;-
10615;31;-;-;-;-;-
10614;31;-;-;-;-;-
10613;31;-;-;-;-;-
10612;31;-;-;-;-;-
10611;31;-;-;-;-;-
10610;31;-;-;-;-;-
10609;31;-;-;-;-;-
10608;31;-;-;-;-;-
10607;31;-;-;-;-;-
10606;31;-;-;-;-;-
10605;31;-;-;-;-;-
10604;31;-;-;-;-;-
10603;31;-;-;-;-;-
10602;31;-;-;-;-;-
10601;31;-;-;-;-;-
10600;31;-;-;-;-;-
10599;31;-;-;-;-;-
10598;31;-;-;-;-;-
10597;31;-;-;-;-;-
10596;31;-;-;-;-;-
10595;31;-;-;-;-;-
10594;31;-;-;-;-;-
10593;31;-;-;-;-;-
10592;31;-;-;-;-;-
10591;30;-;-;-;-;-
10590;30;-;-;-;-;-
10589;30;-;-;-;-;-
10588;30;-;-;-;-;-
10587;30;-;-;-;-;-
10586;30;-;-;-;-;-
10585;30;-;-;-;-;-
10584;30;-;-;-;-;-
10583;30;-;-;-;-;-
10582;30;-;-;-;-;-
10581;30;-;-;-;-;-
10580;30;-;-;-;-;-
10579;30;-;-;-;-;-
10578;30;-;-;-;-;-
10577;30;-;-;-;-;-
10576;30;-;-;-;-;-
10575;30;-;-;-;-;-
10574;30;-;-;-;-;-
10573;30;-;-;-;-;-
10572;30;-;-;-;-;-
10571;30;-;-;-;-;-
10570;30;-;-;-;-;-
10569;30;-;-;-;-;-
10568;30;-;-;-;-;-
10567;30;-;-;-;-;-
10566;30;-;-;-;-;-
10565;30;-;-;-;-;-
10564;30;-;-;-;-;-
10563;30;-;-;-;-;-
10562;30;-;-;-;-;-
10561;30;-;-;-;-;-
10560;30;-;-;-;-;-
10559;30;-;-;-;-;-
10558;30;-;-;-;-;-
10557;30;-;-;-;-;-
10556;30;-;-;-;-;-
10555;30;-;-;-;-;-
10554;30;-;-;-;-;-
10553;30;-;-;-;-;-
10552;30;-;-;-;-;-
10551;30;-;-;-;-;-
10550;30;-;-;-;-;-
10549;30;-;-;-;-;-
10548;30;-;-;-;-;-
10547;30;-;-;-;-;-
10546;30;-;-;-;-;-
10545;30;-;-;-;-;-
10544;30;-;-;-;-;-
10543;30;-;-;-;-;-
10542;30;-;-;-;-;-
10541;30;-;-;-;-;-
10540;30;-;-;-;-;-
10539;30;-;-;-;-;-
10538;30;-;-;-;-;-
10537;30;-;-;-;-;-
10536;30;-;-;-;-;-
10535;30;-;-;-;-;-
10534;30;-;-;-;-;-
10533;30;-;-;-;-;-
10532;30;-;-;-;-;-
10531;30;-;-;-;-;-
10530;30;-;-;-;-;-
10529;30;-;-;-;-;-
10528;30;-;-;-;-;-
10527;30;-;-;-;-;-
10526;30;-;-;-;-;-
10525;30;-;-;-;-;-
10524;30;-;-;-;-;-
10523;30;-;-;-;-;-
10522;30;-;-;-;-;-
10521;30;-;-;-;-;-
10520;30;-;-;-;-;-
10519;30;-;-;-;-;-
10518;30;-;-;-;-;-
10517;30;-;-;-;-;-
10516;30;-;-;-;-;-
10515;30;-;-;-;-;-
10514;30;-;-;-;-;-
10513;30;-;-;-;-;-
10512;30;-;-;-;-;-
10511;30;-;-;-;-;-
10510;30;-;-;-;-;-
10509;30;-;-;-;-;-
10508;30;-;-;-;-;-
10507;30;-;-;-;-;-
10506;30;-;-;-;-;-
10505;30;-;-;-;-;-
10504;30;-;-;-;-;-
10503;30;-;-;-;-;-
10502;30;-;-;-;-;-
