Relatório de Memória de Massa;;;;;;
Descrição: UNIVERSIDADE FEDERAL TRIANG MINEIRO UFTM;;;;;;
Ponto de Medição: 3011467333;;Data de Emissão: 28/01/2019 - 08:28;;;;
Medidor: 22101013;;Data da Leitura: 28/01/2019 - 07:30;;;;
Data Inicial: 01/11/2018 - 00:00;;Data Final: 25/01/2019 - 23:00;;;;
Id;Data do registro;kWh;kVARhInd;kVARhCap;Fator de Potência: ;Posto horário: 
5590;28/02/2018 - 05:15;99,95999999;36,855;0;0,93825895;Fora Ponta
5589;28/02/2018 - 05:00;97,86;33,59999999;0;0,94580352;Fora Ponta
5588;28/02/2018 - 04:45;91,35;33,495;0;0,93887631;Fora Ponta
5587;28/02/2018 - 04:30;90,195;33,705;0;0,93673189;Fora Ponta
5586;28/02/2018 - 04:15;89,46;32,55;0;0,93972899;Fora Ponta
5585;28/02/2018 - 04:00;90,825;34,545;0;0,93467589;Fora Ponta
5584;28/02/2018 - 03:45;93,345;35,91;0;0,93331854;Fora Ponta
5583;28/02/2018 - 03:30;95,76;36,645;0;0,93395132;Fora Ponta
5582;28/02/2018 - 03:15;96,705;37,69499999;0;0,9317196;Fora Ponta
5581;28/02/2018 - 03:00;100,275;38,11499999;0;0,93475107;Fora Ponta
5580;28/02/2018 - 02:45;101,325;38,11499999;0;0,93596995;Fora Ponta
5579;28/02/2018 - 02:30;95,23499999;36,12;0;0,93500931;Fora Ponta
5578;28/02/2018 - 02:15;98,49;37,275;0;0,93525949;Fora Ponta
5577;28/02/2018 - 02:00;97,54499999;37,065;0;0,93479026;Fora Ponta
5576;28/02/2018 - 01:45;97,54499999;37,69499999;0;0,93277511;Fora Ponta
5575;28/02/2018 - 01:30;98,805;38,85;0;0,93064326;Fora Ponta
5574;28/02/2018 - 01:15;101,22;37,8;0;0,93680754;Fora Ponta
5573;28/02/2018 - 01:00;107,205;38,01;0;0,94251217;Fora Ponta
5572;28/02/2018 - 00:45;106,995;39,9;0;0,93697;Fora Ponta
5571;28/02/2018 - 00:30;104,475;39,05999999;0;0,9366769;Fora Ponta
5570;28/02/2018 - 00:15;106,47;37,065;0;0,9444088;Fora Ponta
5569;28/02/2018 - 00:00;107,31;37,905;0;0,94290513;Fora Ponta
5568;27/02/2018 - 23:45;108,885;37,275;0;0,94609778;Fora Ponta
5567;27/02/2018 - 23:30;110,88;37,905;0;0,94623617;Fora Ponta
5566;27/02/2018 - 23:15;109,62;36,54;0;0,94868329;Fora Ponta
5565;27/02/2018 - 23:00;110,565;35,91;0;0,95109378;Fora Ponta
5564;27/02/2018 - 22:45;110,67;36,75;0;0,94904285;Fora Ponta
5563;27/02/2018 - 22:30;115,29;37,69499999;0;0,95048549;Fora Ponta
5562;27/02/2018 - 22:15;114,555;37,58999999;0;0,95015343;Fora Ponta
5561;27/02/2018 - 22:00;117,6;38,745;0;0,94977995;Fora Ponta
5560;27/02/2018 - 21:45;120,225;40,31999999;0;0,94810207;Fora Ponta
5559;27/02/2018 - 21:30;122,325;39,375;0;0,95190095;Fora Ponta
5558;27/02/2018 - 21:15;128,1;40,425;0;0,95364171;Fora Ponta
5557;27/02/2018 - 21:00;121,695;41,16;0;0,94728468;Fora Ponta
5556;27/02/2018 - 20:45;124,11;42;0;0,94723094;Fora Ponta
5555;27/02/2018 - 20:30;125,685;41,685;0;0,94915799;Fora Ponta
5554;27/02/2018 - 20:15;129,15;42,315;0;0,95029326;Fora Ponta
5553;27/02/2018 - 20:00;129,15;41,475;0;0,95210906;Ponta
5552;27/02/2018 - 19:45;128,94;42,105;0;0,95060079;Ponta
5551;27/02/2018 - 19:30;125,79;40,425;0;0,95204509;Ponta
5550;27/02/2018 - 19:15;125,475;40,31999999;0;0,95205342;Ponta
5549;27/02/2018 - 19:00;127,26;40,32;0;0,95329693;Ponta
5548;27/02/2018 - 18:45;133,035;42,42;0;0,95273795;Ponta
5547;27/02/2018 - 18:30;139,23;44,73;0;0,95207337;Ponta
5546;27/02/2018 - 18:15;141,435;44,94;0;0,9530465;Ponta
5545;27/02/2018 - 18:00;136,29;45,78;0;0,94795045;Ponta
5544;27/02/2018 - 17:45;138,915;46,095;0;0,94911285;Ponta
5543;27/02/2018 - 17:30;152,565;51,23999999;0;0,94796319;Ponta
5542;27/02/2018 - 17:15;161,175;52,815;0;0,9502806;Ponta
5541;27/02/2018 - 17:00;164,64;52,5;0;0,95273407;Fora Ponta
5540;27/02/2018 - 16:45;173,04;55,33499999;0;0,95248452;Fora Ponta
5539;27/02/2018 - 16:30;181,02;56,91;0;0,95396658;Fora Ponta
5538;27/02/2018 - 16:15;183,645;53,76;0;0,95972297;Fora Ponta
5537;27/02/2018 - 16:00;188,475;53,97;0;0,96136209;Fora Ponta
5536;27/02/2018 - 15:45;198,03;56,91;0;0,96109974;Fora Ponta
5535;27/02/2018 - 15:30;205,695;56,69999999;0;0,9640448;Fora Ponta
5534;27/02/2018 - 15:15;210,105;58,69499999;0;0,96312381;Fora Ponta
5533;27/02/2018 - 15:00;207,48;58,8;0;0,96210969;Fora Ponta
5532;27/02/2018 - 14:45;204,015;57,01499999;0;0,96309774;Fora Ponta
5531;27/02/2018 - 14:30;206,535;57,33;0;0,96356702;Fora Ponta
5530;27/02/2018 - 14:15;210,105;57,95999999;0;0,96399261;Fora Ponta
5529;27/02/2018 - 14:00;208,215;58,48499999;0;0,96274183;Fora Ponta
5528;27/02/2018 - 13:45;204,435;57,435;0;0,96272742;Fora Ponta
5527;27/02/2018 - 13:30;203,49;57,12;0;0,96278838;Fora Ponta
5526;27/02/2018 - 13:15;194,67;54,59999999;0;0,96284526;Fora Ponta
5525;27/02/2018 - 13:00;192,675;56,06999999;0;0,96016977;Fora Ponta
5524;27/02/2018 - 12:45;184,8;54,81;0;0,95872114;Fora Ponta
5523;27/02/2018 - 12:30;182,175;54,17999999;0;0,9585078;Fora Ponta
5522;27/02/2018 - 12:15;185,535;56,07;0;0,95724283;Fora Ponta
5521;27/02/2018 - 12:00;197,19;58,58999999;0;0,95858156;Fora Ponta
5520;27/02/2018 - 11:45;202,02;58,275;0;0,96082359;Fora Ponta
5519;27/02/2018 - 11:30;194,355;57,43499999;0;0,9590017;Fora Ponta
5518;27/02/2018 - 11:15;192,36;56,48999999;0;0,95948217;Fora Ponta
5517;27/02/2018 - 11:00;198,66;57,855;0;0,96011359;Fora Ponta
5516;27/02/2018 - 10:45;199,71;55,44;0;0,96356144;Fora Ponta
5515;27/02/2018 - 10:30;191,94;51,23999999;0;0,96616472;Fora Ponta
5514;27/02/2018 - 10:15;194,985;54,39;0;0,96322752;Fora Ponta
5513;27/02/2018 - 10:00;197,4;55,44;0;0,96275097;Fora Ponta
5512;27/02/2018 - 09:45;195,72;55,125;0;0,96254993;Fora Ponta
5511;27/02/2018 - 09:30;197,505;54,705;0;0,96371582;Fora Ponta
5510;27/02/2018 - 09:15;194,88;54,07499999;0;0,96359225;Fora Ponta
5509;27/02/2018 - 09:00;183,96;54,495;0;0,95881467;Fora Ponta
5508;27/02/2018 - 08:45;181,125;54,49499999;0;0,95759679;Fora Ponta
5507;27/02/2018 - 08:30;179,865;54,915;0;0,95641656;Fora Ponta
5506;27/02/2018 - 08:15;174,615;52,605;0;0,95749286;Fora Ponta
5505;27/02/2018 - 08:00;166,845;49,665;0;0,95843833;Fora Ponta
5504;27/02/2018 - 07:45;166,53;48,40499999;0;0,96025727;Fora Ponta
5503;27/02/2018 - 07:30;163,38;49,14;0;0,95762278;Fora Ponta
