Relatório de Memória de Massa;;;;;;
Descrição: UNIVERSIDADE FEDERAL TRIANG MINEIRO UFTM;;;;;;
Ponto de Medição: 3011467333;;Data de Emissão: 28/01/2019 - 08:28;;;;
Medidor: 22101013;;Data da Leitura: 28/01/2019 - 07:30;;;;
Data Inicial: 01/11/2018 - 00:00;;Data Final: 25/01/2019 - 23:00;;;;
Id;Data do registro;kWh;kVARhInd;kVARhCap;Fator de Potência: ;Posto horário: 
23254;31/08/2018 - 05:15;80,43;25,725;0;0,95246745;Fora Ponta
23253;31/08/2018 - 05:00;79,275;24,46499999;0;0,95553239;Fora Ponta
23252;31/08/2018 - 04:45;78,435;24,99;0;0,95280844;Fora Ponta
23251;31/08/2018 - 04:30;77,38499999;24,36;0;0,95385611;Fora Ponta
23250;31/08/2018 - 04:15;78,53999999;26,46;0;0,94766487;Fora Ponta
23249;31/08/2018 - 04:00;79,38;26,88;0;0,94716913;Fora Ponta
23248;31/08/2018 - 03:45;76,755;26,56499999;0;0,94500144;Fora Ponta
23247;31/08/2018 - 03:30;79,065;28,875;0;0,93931904;Fora Ponta
23246;31/08/2018 - 03:15;78,015;27,50999999;0;0,94308402;Fora Ponta
23245;31/08/2018 - 03:00;78,015;25,93499999;0;0,94893842;Fora Ponta
23244;31/08/2018 - 02:45;81,27;26,35499999;0;0,95123256;Fora Ponta
23243;31/08/2018 - 02:30;81,47999999;26,775;0;0,95002137;Fora Ponta
23242;31/08/2018 - 02:15;84,21;26,56499999;0;0,95367248;Fora Ponta
23241;31/08/2018 - 02:00;84,73499999;26,66999999;0;0,95386805;Fora Ponta
23240;31/08/2018 - 01:45;81,795;25,62;0;0,95428359;Fora Ponta
23239;31/08/2018 - 01:30;79,8;25,725;0;0,95176761;Fora Ponta
23238;31/08/2018 - 01:15;81,795;26,25;0;0,95216835;Fora Ponta
23237;31/08/2018 - 01:00;85,995;28,13999999;0;0,9504096;Fora Ponta
23236;31/08/2018 - 00:45;84,42;27,82499999;0;0,94974107;Fora Ponta
23235;31/08/2018 - 00:30;86,31;27,50999999;0;0,95277343;Fora Ponta
23234;31/08/2018 - 00:15;88,725;27,195;0;0,95609648;Fora Ponta
23233;31/08/2018 - 00:00;91,77;27,615;0;0,9575847;Fora Ponta
23232;30/08/2018 - 23:45;92,505;27,825;0;0,95761661;Fora Ponta
23231;30/08/2018 - 23:30;94,185;28,03499999;0;0,95844164;Fora Ponta
23230;30/08/2018 - 23:15;96,285;29,29499999;0;0,95669914;Fora Ponta
23229;30/08/2018 - 23:00;96,81;27,615;0;0,96164193;Fora Ponta
23228;30/08/2018 - 22:45;101,745;28,665;0;0,96252948;Fora Ponta
23227;30/08/2018 - 22:30;99,33;28,55999999;0;0,96106255;Fora Ponta
23226;30/08/2018 - 22:15;93,44999999;26,775;0;0,96131988;Fora Ponta
23225;30/08/2018 - 22:00;98,805;28,55999999;0;0,96067182;Fora Ponta
23224;30/08/2018 - 21:45;99,85499999;30,03;0;0,95763206;Fora Ponta
23223;30/08/2018 - 21:30;103,425;29,4;0;0,96189158;Fora Ponta
23222;30/08/2018 - 21:15;107,835;31,5;0;0,95988477;Fora Ponta
23221;30/08/2018 - 21:00;114,03;31,71;0;0,96344161;Fora Ponta
23220;30/08/2018 - 20:45;109,935;29,82;0;0,96512453;Fora Ponta
23219;30/08/2018 - 20:30;114,03;29,82;0;0,96746573;Fora Ponta
23218;30/08/2018 - 20:15;116,655;30,555;0;0,96736714;Fora Ponta
23217;30/08/2018 - 20:00;113,505;30,765;0;0,96517472;Ponta
23216;30/08/2018 - 19:45;115,92;32,235;0;0,96344285;Ponta
23215;30/08/2018 - 19:30;115,815;32,445;0;0,96292774;Ponta
23214;30/08/2018 - 19:15;115,395;33,07499999;0;0,96129255;Ponta
23213;30/08/2018 - 19:00;119,91;33,285;0;0,96356624;Ponta
23212;30/08/2018 - 18:45;122,01;31,71;0;0,96784684;Ponta
23211;30/08/2018 - 18:30;129,78;32,865;0;0,96939983;Ponta
23210;30/08/2018 - 18:15;137,025;34,02;0;0,97053494;Ponta
23209;30/08/2018 - 18:00;136,815;36,53999999;0;0,96613641;Ponta
23208;30/08/2018 - 17:45;141,225;39,9;0;0,96232975;Ponta
23207;30/08/2018 - 17:30;148,575;42,525;0;0,96139564;Ponta
23206;30/08/2018 - 17:15;149,73;41,475;0;0,9637113;Ponta
23205;30/08/2018 - 17:00;149,94;41,68499999;0;0,96345989;Fora Ponta
23204;30/08/2018 - 16:45;161,07;42,21;0;0,96733541;Fora Ponta
23203;30/08/2018 - 16:30;162,54;42,83999999;0;0,96697736;Fora Ponta
23202;30/08/2018 - 16:15;166,74;43,89;0;0,96705875;Fora Ponta
23201;30/08/2018 - 16:00;169,365;42,62999999;0;0,96975223;Fora Ponta
23200;30/08/2018 - 15:45;173,88;43,365;0;0,9702802;Fora Ponta
23199;30/08/2018 - 15:30;180,705;45,57;0;0,96964332;Fora Ponta
23198;30/08/2018 - 15:15;186,27;46,72499999;0;0,96994921;Fora Ponta
23197;30/08/2018 - 15:00;192,885;47,45999999;0;0,97103752;Fora Ponta
23196;30/08/2018 - 14:45;190,89;46,515;0;0,97157132;Fora Ponta
23195;30/08/2018 - 14:30;192,045;45,98999999;0;0,97250301;Fora Ponta
23194;30/08/2018 - 14:15;186,585;46,515;0;0,97030288;Fora Ponta
23193;30/08/2018 - 14:00;181,545;45,465;0;0,97004341;Fora Ponta
23192;30/08/2018 - 13:45;177,45;43,68;0;0,97101487;Fora Ponta
23191;30/08/2018 - 13:30;173,355;41,37;0;0,97268597;Fora Ponta
23190;30/08/2018 - 13:15;166,425;41,37;0;0,97046578;Fora Ponta
23189;30/08/2018 - 13:00;164,745;41,895;0;0,96915352;Fora Ponta
23188;30/08/2018 - 12:45;154,56;38,84999999;0;0,96983165;Fora Ponta
23187;30/08/2018 - 12:30;158,025;39,585;0;0,97002865;Fora Ponta
23186;30/08/2018 - 12:15;143,85;37,485;0;0,96768474;Fora Ponta
23185;30/08/2018 - 12:00;148,365;38,64;0;0,96771901;Fora Ponta
23184;30/08/2018 - 11:45;149,94;38,43;0;0,96868896;Fora Ponta
23183;30/08/2018 - 11:30;150,99;38,01;0;0,96974451;Fora Ponta
23182;30/08/2018 - 11:15;151,515;39,585;0;0,96752464;Fora Ponta
23181;30/08/2018 - 11:00;155,82;40,425;0;0,9679558;Fora Ponta
23180;30/08/2018 - 10:45;157,29;41,265;0;0,96726663;Fora Ponta
23179;30/08/2018 - 10:30;158,235;41,37;0;0,96748077;Fora Ponta
23178;30/08/2018 - 10:15;157,395;41,37;0;0,96714971;Fora Ponta
23177;30/08/2018 - 10:00;156,975;40,53;0;0,96824698;Fora Ponta
23176;30/08/2018 - 09:45;156,45;42,735;0;0,96465916;Fora Ponta
23175;30/08/2018 - 09:30;159,39;42,735;0;0,96588554;Fora Ponta
23174;30/08/2018 - 09:15;160,86;42,735;0;0,96647534;Fora Ponta
23173;30/08/2018 - 09:00;145,005;40,32;0;0,96344791;Fora Ponta
23172;30/08/2018 - 08:45;146,685;39,06;0;0,96632672;Fora Ponta
23171;30/08/2018 - 08:30;146,79;39,58499999;0;0,96550898;Fora Ponta
23170;30/08/2018 - 08:15;148,68;38,43;0;0,96818119;Fora Ponta
23169;30/08/2018 - 08:00;139,125;34,01999999;0;0,97138021;Fora Ponta
23168;30/08/2018 - 07:45;136,395;33,915;0;0,97044933;Fora Ponta
23167;30/08/2018 - 07:30;129,36;34,44;0;0,966339;Fora Ponta
23166;30/08/2018 - 07:15;128,31;35,80499999;0;0,96320104;Fora Ponta
23165;30/08/2018 - 07:00;109,725;31,395;0;0,96141972;Fora Ponta
23164;30/08/2018 - 06:45;104,37;30,555;0;0,95971835;Fora Ponta
23163;30/08/2018 - 06:30;93,975;28,55999999;0;0,95679032;Fora Ponta
23162;30/08/2018 - 06:15;89,565;27,82499999;0;0,95497666;Fora Ponta
23161;30/08/2018 - 06:00;87,88499999;25,83;0;0,95942024;Fora Ponta
23160;30/08/2018 - 05:45;85,89;27,615;0;0,95200434;Fora Ponta
23159;30/08/2018 - 05:30;82,32;27,29999999;0;0,94916645;Fora Ponta
23158;30/08/2018 - 05:15;86,205;28,455;0;0,94960455;Fora Ponta
23157;30/08/2018 - 05:00;79,17;28,35;0;0,94145908;Fora Ponta
23156;30/08/2018 - 04:45;75,91499999;28,035;0;0,93807701;Fora Ponta
23155;30/08/2018 - 04:30;74,97;26,985;0;0,9409042;Fora Ponta
23154;30/08/2018 - 04:15;77,175;26,88;0;0,94435804;Fora Ponta
23153;30/08/2018 - 04:00;76,335;27,93;0;0,93911268;Fora Ponta
23152;30/08/2018 - 03:45;78,53999999;28,24499999;0;0,94099961;Fora Ponta
23151;30/08/2018 - 03:30;78,33;28,97999999;0;0,93787002;Fora Ponta
23150;30/08/2018 - 03:15;76,64999999;26,46;0;0,94526284;Fora Ponta
23149;30/08/2018 - 03:00;80,00999999;27,50999999;0;0,94566275;Fora Ponta
23148;30/08/2018 - 02:45;77,595;26,985;0;0,94451403;Fora Ponta
